QGPIORecord, QRC v6.1.0, 24-11-2021 @ 17:40:08, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, ValueIn10, ValueIn11
7020, 0, 0, 0, 0, 0, 0, 2.07505, 0, 0, 0, 0, 0
7031, 0, 0, 0, 0, 0, 0, 2.26269, 0, 0, 0, 0, 0
7041, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
7050, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
7060, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7070, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
7080, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
7091, 0, 0, 0, 0, 0, 0, 1.2494, 0, 0, 0, 0, 0
7100, 0, 0, 0, 0, 0, 0, 1.31458, 0, 0, 0, 0, 0
7110, 0, 0, 0, 0, 0, 0, 0.453242, 0, 0, 0, 0, 0
7120, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
7131, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
7140, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7150, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7160, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7171, 0, 0, 0, 0, 0, 0, 0.573872, 0, 0, 0, 0, 0
7180, 0, 0, 0, 0, 0, 0, 0.586964, 0, 0, 0, 0, 0
7190, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
7200, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7211, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7220, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
7230, 0, 0, 0, 0, 0, 0, 6.20328, 0, 0, 0, 0, 0
7240, 0, 0, 0, 0, 0, 0, 0.761519, 0, 0, 0, 0, 0
7250, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7261, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7270, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7280, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7290, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7301, 0, 0, 0, 0, 0, 0, 0.718628, 0, 0, 0, 0, 0
7310, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7320, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7330, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
7341, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
7350, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7360, 0, 0, 0, 0, 0, 0, 1.2494, 0, 0, 0, 0, 0
7370, 0, 0, 0, 0, 0, 0, 1.31458, 0, 0, 0, 0, 0
7380, 0, 0, 0, 0, 0, 0, 1.31458, 0, 0, 0, 0, 0
7390, 0, 0, 0, 0, 0, 0, 1.31458, 0, 0, 0, 0, 0
7400, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7410, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
7420, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
7431, 0, 0, 0, 0, 0, 0, 1.2494, 0, 0, 0, 0, 0
7440, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
7450, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
7460, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7471, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7480, 0, 0, 0, 0, 0, 0, 0.496606, 0, 0, 0, 0, 0
7490, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7500, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7511, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
7520, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7530, 0, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0
7540, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
