QGPIORecord, QRC v6.1.0, 02-12-2021 @ 16:13:02, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, ValueIn10, ValueIn11
28840, 0, 0, 0, 0, 0, 0, 0.0960493, -0.0184258, 0, 0, 0, 0
28850, 6, 6, 0, 0, 0, 0, 0.0960493, -0.0184258, 0.01, 0, 0, 0
28860, 6, 6, 0, 0, 0, 0, 0.0957578, -0.0184258, 0.02, 0, 0, 0
28870, 6, 6, 0.0385687, 0.0385687, 3.84635, 3.83232, 0.0960493, -0.0184258, 0.03, 0, 0, 0
28880, 6, 6, 0.119212, 0.119212, 8.06436, 8.40797, 0.0960493, -0.0184258, 0.04, 0, 0, 0
28891, 6, 6, 0.220893, 0.220893, 10.1506, 10.1611, 0.0960493, -0.0184258, 0.05, 0, 0, 0
28900, 6, 6, 0.329587, 0.333093, 10.8693, 10.8729, 0.0960493, -0.0184258, 0.06, 0, 0, 0
28910, 6, 6, 0.445293, 0.445293, 11.5811, 11.5776, 0.0960493, -0.0184258, 0.07, 0, 0, 0
28920, 6, 6, 0.560999, 0.564505, 11.9037, 11.5566, 0.0963428, -0.0184258, 0.08, 0, 0, 0
28931, 6, 6, 0.680211, 0.680211, 11.5811, 11.9247, 0.0972356, -0.0184258, 0.09, 0, 0, 0
28940, 6, 6, 0.802929, 0.799423, 12.2648, 11.9107, 0.0972356, -0.0184258, 0.1, 0, 0, 0
28950, 6, 6, 0.922142, 0.922142, 11.9037, 11.9142, 0.0900666, -0.0184258, 0.11, 0, 0, 0
28960, 6, 6, 1.04486, 1.04135, 12.2789, 11.9388, 0.0984555, -0.0184258, 0.12, 0, 0, 0
28971, 6, 6, 1.16407, 1.16057, 11.9247, 11.9107, 0.0984555, -0.0184258, 0.13, 0, 0, 0
28981, 6, 6, 1.28679, 1.27978, 12.2508, 12.2613, 0.0997103, -0.0184258, 0.14, 0, 0, 0
28990, 6, 6, 1.406, 1.39899, 12.2964, 11.9388, 0.100675, -0.0184258, 0.15, 0, 0, 0
29000, 6, 6, 1.52872, 1.52171, 11.9212, 12.2543, 0.101002, -0.0184258, 0.16, 0, 0, 0
29010, 6, 6, 1.64793, 1.64092, 12.2508, 11.9212, 0.101995, -0.0184258, 0.17, 0, 0, 0
29021, 6, 6, 1.77065, 1.76364, 12.2718, 12.2754, 0.101995, -0.0184258, 0.18, 0, 0, 0
29030, 6, 6, 1.89337, 1.88636, 11.9423, 11.9212, 0.103354, -0.0184258, 0.19, 0, 0, 0
29040, 6, 6, 2.01609, 2.00557, 12.2543, 12.2648, 0.105833, -0.0184258, 0.2, 0, 0, 0
29050, 6, 6, 2.13881, 2.12829, 12.2718, 11.9282, 0.106198, -0.0184258, 0.21, 0, 0, 0
29061, 6, 6, 2.26153, 2.2475, 12.2613, 12.2648, 0.107687, -0.0184258, 0.22, 0, 0, 0
29070, 6, 6, 2.38074, 2.37022, 11.9247, 11.9212, 0.108834, -0.0184258, 0.23, 0, 0, 0
29080, 6, 6, 2.50346, 2.48943, 12.2754, 12.2789, 0.0993932, -0.0184258, 0.24, 0, 0, 0
29090, 6, 6, 2.62618, 2.61215, 12.2613, 12.2613, 0.112031, -0.0184258, 0.25, 0, 0, 0
29101, 6, 6, 2.74539, 2.73487, 12.2894, 11.9388, 0.112031, -0.0184258, 0.26, 0, 0, 0
29111, 6, 6, 2.86811, 2.85408, 11.9002, 12.2403, 0.117696, -0.0184258, 0.27, 0, 0, 0
