QGPIORecord, QRC v6.1.0, 24-11-2021 @ 22:25:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, ValueIn10, ValueIn11
7480, 0, 0, 0, 0, 0, 0, 0.154939, 0, 0, 0, 0, 0
7491, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7500, 0, 0, 0, 0, 0, 0, 0.154939, 0, 0, 0, 0, 0
7511, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7520, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7530, 0, 0, 0, 0, 0, 0, 0.133552, 0, 0, 0, 0, 0
7540, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7550, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7560, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7570, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7580, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7590, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7601, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7610, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7620, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7630, 0, 0, 0, 0, 0, 0, 0.154939, 0, 0, 0, 0, 0
7641, 0, 0, 0, 0, 0, 0, 0.154939, 0, 0, 0, 0, 0
7650, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7660, 0, 0, 0, 0, 0, 0, 0.133552, 0, 0, 0, 0, 0
7670, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7681, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7690, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7700, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7710, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
7720, 0, 0, 0, 0, 0, 0, 0.154107, 0, 0, 0, 0, 0
