QGPIORecord, QRC v6.1.0, 17-11-2021 @ 09:58:09, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, ValueIn10, ValueIn11
13480, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
13490, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0.01, 0, 0, 0
13500, 5.976, 5.976, 0, 0, 0, 0, 2.26269, 0, 0.02, 0, 0, 0
13510, 5.976, 5.976, 0.0385687, 0.0385687, 3.84635, 3.83232, 2.76309, 0, 0.03, 0, 0, 0
13520, 5.976, 5.976, 0.105187, 0.108693, 6.66186, 7.00547, 1.55902, 0.00153548, 0.04, 0, 0, 0
13531, 5.976, 5.976, 0.189337, 0.192843, 8.41498, 8.42199, 1.66222, 0.00614192, 0.05, 0, 0, 0
13541, 5.976, 5.976, 0.276993, 0.287512, 8.75859, 9.45633, 6.20328, 0.0122838, 0.06, 0, 0, 0
13550, 5.976, 5.976, 0.364649, 0.385687, 8.76911, 9.81046, 2.07505, 0.0199612, 0.07, 0, 0, 0
13560, 5.976, 5.976, 0.452305, 0.480355, 8.7656, 9.82449, 2.07505, 0.0291741, 0.08, 0, 0, 0
13571, 5.976, 5.976, 0.539961, 0.57853, 8.76911, 9.45984, 3.10711, 0.041458, 0.09, 0, 0, 0
13581, 5.976, 5.976, 0.63463, 0.676705, 9.45984, 9.80696, 1.04299, 0.0537418, 0.1, 0, 0, 0
13590, 5.976, 5.976, 0.732805, 0.774879, 9.80696, 9.82449, 1.04299, 0.0675611, 0.11, 0, 0, 0
13600, 5.976, 5.976, 0.830979, 0.873054, 9.828, 10.1751, 4.13916, 0.0829159, 0.12, 0, 0, 0
13611, 5.976, 5.976, 0.925648, 0.971229, 9.46685, 9.80696, 4.13916, 0.0982707, 0.13, 0, 0, 0
13621, 5.976, 5.976, 1.02032, 1.0694, 9.79995, 9.45633, 4.13916, 0.115161, 0.14, 0, 0, 0
13630, 5.976, 5.976, 1.11849, 1.16758, 9.48438, 10.1821, 6.20328, 0.132051, 0.15, 0, 0, 0
13640, 5.976, 5.976, 1.22017, 1.26926, 10.1611, 9.81748, 6.20328, 0.148942, 0.16, 0, 0, 0
13650, 5.976, 5.976, 1.32185, 1.37094, 10.1365, 10.1365, 1.2494, 0.167367, 0.17, 0, 0, 0
13661, 5.976, 5.976, 1.42353, 1.47262, 10.5257, 10.5117, 1.2494, 0.184258, 0.18, 0, 0, 0
13671, 5.976, 5.976, 1.53223, 1.57781, 10.5433, 10.5433, 2.76309, 0.199612, 0.19, 0, 0, 0
13680, 5.976, 5.976, 1.64443, 1.69001, 11.1954, 10.8588, 2.48787, 0.213432, 0.2, 0, 0, 0
