QGPIORecord, QRC v6.1.0, 17-11-2021 @ 10:07:19, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, ValueIn10, ValueIn11
7870, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7881, 0, 0, 0, 0, 0, 0, 0.586964, 0, 0, 0, 0, 0
7890, 0, 0, 0, 0, 0, 0, 0.586964, 0, 0, 0, 0, 0
7901, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
7910, 0, 0, 0, 0, 0, 0, 1.55902, 0, 0, 0, 0, 0
7920, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
7930, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
7941, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7950, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
7960, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
7970, 0, 0, 0, 0, 0, 0, 0.718628, 0, 0, 0, 0, 0
7981, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
7990, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
8000, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
8010, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
8020, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
8030, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
8040, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8050, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8060, 0, 0, 0, 0, 0, 0, 1.31458, 0, 0, 0, 0, 0
8071, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
8080, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
8090, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
8100, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
8111, 0, 0, 0, 0, 0, 0, 0.928316, 0, 0, 0, 0, 0
8120, 0, 0, 0, 0, 0, 0, 2.07505, 0, 0, 0, 0, 0
8130, 0, 0, 0, 0, 0, 0, 2.26269, 0, 0, 0, 0, 0
8140, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8151, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8160, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8170, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
8180, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
8190, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8200, 0, 0, 0, 0, 0, 0, 1.2494, 0, 0, 0, 0, 0
8210, 0, 0, 0, 0, 0, 0, 0.52696, 0, 0, 0, 0, 0
8220, 0, 0, 0, 0, 0, 0, 6.20328, 0, 0, 0, 0, 0
8230, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
8241, 0, 0, 0, 0, 0, 0, 4.96481, 0, 0, 0, 0, 0
8250, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
8260, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
8270, 0, 0, 0, 0, 0, 0, 1.31458, 0, 0, 0, 0, 0
8281, 0, 0, 0, 0, 0, 0, 2.07505, 0, 0, 0, 0, 0
8290, 0, 0, 0, 0, 0, 0, 2.26269, 0, 0, 0, 0, 0
8300, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8310, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8321, 0, 0, 0, 0, 0, 0, 0.836578, 0, 0, 0, 0, 0
8330, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
8340, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
8350, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
8360, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8371, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8380, 0, 0, 0, 0, 0, 0, 6.20328, 0, 0, 0, 0, 0
8390, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8400, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
8411, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
8420, 0, 0, 0, 0, 0, 0, 1.13681, 0, 0, 0, 0, 0
8430, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
8440, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
8451, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
8460, 0, 0, 0, 0, 0, 0, 0.573872, 0, 0, 0, 0, 0
