QGPIORecord, QRC v6.1.0, 30-11-2021 @ 01:15:34, Windows 10 Version 1903, 10.0.18362, x86_64,,,,,,,
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
20191,0,0,0,0,0,0,0.115004,0,0,0,0,0
20200,6,6,0,0,0,0,0.127219,0,0.01,0,0,0
20210,6,6,0,0,0,0,0.127219,0,0.02,0,0,0
20220,6,6,0.0385687,0.0385687,3.84985,3.83232,0.126676,0,0.03,0,0,0
20231,6,6,0.122718,0.119212,8.41498,8.41147,0.127219,0,0.04,0,0,0
20240,6,6,0.224399,0.224399,10.1576,10.5082,0.127219,0,0.05,0,0,0
20250,6,6,0.340105,0.340105,11.5811,11.2305,0.127219,0,0.06,0,0,0
20260,6,6,0.459318,0.459318,11.9142,11.9142,0.127219,0,0.07,0,0,0
20271,6,6,0.582036,0.57853,12.2508,12.2543,0.127219,0,0.08,0,0,0
20280,6,6,0.704755,0.704755,12.626,12.2754,0.127219,0,0.09,0,0,0
20290,6,6,0.830979,0.827473,12.2964,12.64,0.127219,0,0.1,0,0,0
20300,6,6,0.953698,0.953698,12.6014,12.2508,0.127219,0,0.11,0,0,0
20311,6,6,1.07992,1.07992,12.2543,12.612,0.127219,0,0.12,0,0,0
20321,6,6,1.20615,1.20264,12.6295,12.6155,0.127219,0,0.13,0,0,0
20330,6,6,1.33237,1.32887,12.626,12.6155,0.127219,0,0.14,0,0,0
20340,6,6,1.45509,1.45509,12.6155,12.2894,0.127219,0,0.15,0,0,0
20350,6,6,1.58132,1.58132,12.626,12.626,0.115443,0,0.16,0,0,0
20361,6,6,1.70754,1.70403,12.2648,12.5944,0.127219,0,0.17,0,0,0
20370,6,6,1.83376,1.83026,12.626,12.6225,0.115004,0,0.18,0,0,0
20380,6,6,1.95999,1.95648,12.6225,12.6295,0.127768,0,0.19,0,0,0
20390,6,6,2.08621,2.08271,12.6225,12.2754,0.127219,0,0.2,0,0,0
20401,6,6,2.21244,2.20543,12.6225,12.6295,0.127219,0,0.21,0,0,0
20410,6,6,2.33866,2.33165,12.6225,12.6049,0.127219,0,0.22,0,0,0
20420,6,6,2.46489,2.45788,12.6295,12.6295,0.127219,0,0.23,0,0,0
20430,6,6,2.59111,2.5841,12.6225,12.2859,0.127219,0,0.24,0,0,0
20441,6,6,2.71383,2.71033,12.6225,12.6225,0.127219,0,0.25,0,0,0
20450,6,6,2.84006,2.83304,12.6155,12.6155,0.127219,0,0.26,0,0,0
20460,6,6,2.96628,2.95927,12.612,12.6049,0.127219,0,0.27,0,0,0
20470,6,6,3.09251,3.08549,12.626,12.2789,0.127219,0,0.28,0,0,0
20481,6,6,3.21873,3.21172,12.2543,12.6014,0.127219,0,0.29,0,0,0
20491,6,6,3.34495,3.33444,12.6155,12.6155,0.127219,0,0.3,0,0,0
20500,6,6,3.47118,3.46066,12.6365,12.6155,0.127219,0,0.31,0,0,0
20510,6,6,3.5974,3.58689,12.6225,12.6365,0.115004,0,0.32,0,0,0
20520,6,6,3.72363,3.71311,12.6225,12.2754,0.127219,0,0.33,0,0,0
20531,6,6,3.84985,3.83933,12.612,12.6155,0.127219,0,0.34,0,0,0
20540,6,6,3.97608,3.96205,12.6225,12.612,0.126676,0,0.35,0,0,0
20550,6,6,4.1023,4.08828,12.626,12.6295,0.127219,0,0.36,0,0,0
20560,6,6,4.22502,4.2145,12.6225,12.2754,0.127219,0,0.37,0,0,0
20571,6,6,4.35125,4.33722,12.2789,12.6155,0.127219,0,0.38,0,0,0
20580,6,6,4.47747,4.46345,12.6155,12.6155,0.127219,0,0.39,0,0,0
20590,6,6,4.6037,4.58967,12.64,12.2894,0.127219,0,0.4,0,0,0
20600,6,6,4.72992,4.7159,12.6155,12.6155,0.127219,0,0.41,0,0,0
20611,6,6,4.85614,4.83861,12.626,12.6365,0.127219,0,0.42,0,0,0
20621,6,6,4.98237,4.96484,12.5909,12.5804,0.127219,0,0.43,0,0,0
20630,6,6,5.10859,5.09106,12.6365,12.2964,0.127219,0,0.44,0,0,0
20640,6,6,5.23131,5.21729,12.6155,12.6225,0.127768,0,0.45,0,0,0
20651,6,6,5.35754,5.34001,12.6365,12.6225,0.127219,0,0.46,0,0,0
20661,6,6,5.48727,5.46623,12.612,12.2718,0.115004,0,0.47,0,0,0
20670,6,6,5.60999,5.59246,12.2789,12.626,0.113709,0,0.48,0,0,0
20680,6,6,5.73621,5.71517,12.9521,12.6049,0.126676,0,0.49,0,0,0
20690,6,6,5.86244,5.8414,12.2718,12.626,0.127219,0,0.5,0,0,0
20701,6,6,5.98866,5.96762,12.612,12.2613,0.127219,0,0.51,0,0,0
20710,6,6,6.11489,6.09385,12.6225,12.6225,0.127219,0,0.52,0,0,0
20720,6,6,6.24111,6.21657,12.64,12.626,0.127219,0,0.53,0,0,0
20730,6,6,6.36734,6.34279,12.6155,12.2754,0.127219,0,0.54,0,0,0
20741,6,6,6.49356,6.46902,12.626,12.626,0.127219,0,0.55,0,0,0
20750,6,6,6.61628,6.59173,12.6049,12.612,0.127219,0,0.56,0,0,0
20760,6,6,6.7425,6.71796,12.626,12.2754,0.127219,0,0.57,0,0,0
20770,6,6,6.86873,6.84418,12.2789,12.6155,0.127219,0,0.58,0,0,0
20781,6,6,6.99495,6.9669,12.6225,12.626,0.127219,0,0.59,0,0,0
20791,6,6,7.12118,7.09313,12.6225,12.6155,0.127219,0,0.6,0,0,0
