QGPIORecord, QRC v6.1.0, 13-11-2021 @ 22:21:44, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, ValueIn10, ValueIn11
67880, 0, 0, 0, 0, 0, 0, 0.391999, 0, 0, 0, 0, 0
67890, 0, 0, 0, 0, 0, 0, 0.386225, 0, 0.01, 0, 0, 0
67900, 4, 4, 0, 0, 0, 0, 0.36478, 0, 0.02, 0, 0, 0
67910, 4, 4, 0.0245437, 0.0245437, 2.44736, 2.43684, 0.369908, 0, 0.03, 0, 0, 0
67920, 4, 4, 0.0806436, 0.0806436, 5.60999, 5.9536, 0.416987, 0, 0.04, 0, 0, 0
67931, 4, 4, 0.150768, 0.150768, 7.01248, 6.66887, 0.416987, 0, 0.05, 0, 0, 0
67941, 4, 4, 0.227906, 0.227906, 7.70672, 7.71373, 0.423754, 0, 0.06, 0, 0, 0
67950, 4, 4, 0.305043, 0.305043, 7.72074, 8.05734, 0.445482, 0, 0.07, 0, 0, 0
67960, 4, 4, 0.385687, 0.385687, 8.06436, 7.73126, 0.369908, 0, 0.08, 0, 0, 0
67971, 4, 4, 0.46633, 0.46633, 8.06436, 8.39394, 0.380624, 0, 0.09, 0, 0, 0
67981, 4, 4, 0.55048, 0.546974, 8.41147, 8.07487, 0.445482, 0, 0.1, 0, 0, 0
67990, 4, 4, 0.631124, 0.627617, 8.05734, 8.05734, 0.453242, 0, 0.11, 0, 0, 0
68000, 4, 4, 0.711767, 0.711767, 8.41498, 8.06436, 0.292402, 0, 0.12, 0, 0, 0
68011, 4, 4, 0.795917, 0.792411, 8.07137, 8.06786, 0.410438, 0, 0.13, 0, 0, 0
68021, 4, 4, 0.87656, 0.873054, 8.40446, 8.39745, 0.416987, 0, 0.14, 0, 0, 0
68030, 4, 4, 0.96071, 0.957204, 8.05734, 8.06085, 0.445482, 0, 0.15, 0, 0, 0
68040, 4, 4, 1.04135, 1.03785, 8.40797, 8.06436, 0.445482, 0, 0.16, 0, 0, 0
68050, 4, 4, 1.1255, 1.11849, 8.07838, 8.07838, 0.332612, 0, 0.17, 0, 0, 0
68061, 4, 4, 1.20615, 1.19913, 8.06085, 8.40797, 0.416987, 0, 0.18, 0, 0, 0
68071, 4, 4, 1.2903, 1.28328, 8.40096, 8.05033, 0.423754, 0, 0.19, 0, 0, 0
68080, 4, 4, 1.37094, 1.36393, 8.08189, 8.07487, 0.350238, 0, 0.2, 0, 0, 0
68090, 4, 4, 1.45509, 1.44457, 8.41147, 8.41849, 0.391999, 0, 0.21, 0, 0, 0
68101, 4, 4, 1.53573, 1.52522, 8.05384, 8.05384, 0.277269, 0, 0.22, 0, 0, 0
68111, 4, 4, 1.61638, 1.60936, 8.41147, 8.05734, 0.487266, 0, 0.23, 0, 0, 0
68120, 4, 4, 1.70053, 1.69001, 8.07838, 8.42199, 0.496606, 0, 0.24, 0, 0, 0
68130, 4, 4, 1.78468, 1.77416, 8.40797, 8.06436, 0.350238, 0, 0.25, 0, 0, 0
68141, 4, 4, 1.86532, 1.8548, 8.06786, 8.06786, 0.332612, 0, 0.26, 0, 0, 0
68151, 4, 4, 1.94947, 1.93545, 8.39745, 8.39745, 0.336844, 0, 0.27, 0, 0, 0
68160, 4, 4, 2.03011, 2.01609, 8.07487, 8.05734, 0.445482, 0, 0.28, 0, 0, 0
68170, 4, 4, 2.11426, 2.10024, 8.41498, 8.08539, 0.369908, 0, 0.29, 0, 0, 0
68180, 4, 4, 2.19491, 2.18088, 8.06436, 8.06436, 0.369908, 0, 0.3, 0, 0, 0
68191, 4, 4, 2.27906, 2.26503, 8.39394, 8.39394, 0.350238, 0, 0.31, 0, 0, 0
68200, 4, 4, 2.3597, 2.34568, 8.08189, 8.06786, 0.354951, 0, 0.32, 0, 0, 0
68210, 4, 4, 2.44385, 2.42632, 8.40797, 8.41498, 0.397953, 0, 0.33, 0, 0, 0
68220, 4, 4, 2.52449, 2.50696, 8.06786, 8.06085, 0.573872, 0, 0.34, 0, 0, 0
68231, 4, 4, 2.60864, 2.59111, 8.40446, 8.06436, 0.350238, 0, 0.35, 0, 0, 0
68241, 4, 4, 2.68929, 2.67176, 8.06436, 8.41147, 0.369908, 0, 0.36, 0, 0, 0
68250, 4, 4, 2.77344, 2.75591, 8.41498, 8.07137, 0.416987, 0, 0.37, 0, 0, 0
68260, 4, 4, 2.85408, 2.83655, 8.06786, 8.06786, 0.410438, 0, 0.38, 0, 0, 0
68271, 4, 4, 2.93823, 2.91719, 8.40797, 8.40797, 0.332612, 0, 0.39, 0, 0, 0
68281, 4, 4, 3.01887, 3.00134, 8.05734, 8.04683, 0.332612, 0, 0.4, 0, 0, 0
68290, 4, 4, 3.10302, 3.08199, 8.4255, 8.08539, 0.391999, 0, 0.41, 0, 0, 0
68300, 4, 4, 3.18367, 3.16263, 8.41498, 8.41498, 0.52696, 0, 0.42, 0, 0, 0
68311, 4, 4, 3.26782, 3.24678, 8.04683, 8.04332, 0.52696, 0, 0.43, 0, 0, 0
68321, 4, 4, 3.34846, 3.32742, 8.07487, 8.06436, 0.487266, 0, 0.44, 0, 0, 0
68330, 4, 4, 3.43261, 3.40807, 8.41498, 8.41849, 0.487266, 0, 0.45, 0, 0, 0
68340, 4, 4, 3.51325, 3.49222, 8.05734, 8.06085, 0.375187, 0, 0.46, 0, 0, 0
68350, 4, 4, 3.5974, 3.57286, 8.41498, 8.06436, 0.369908, 0, 0.47, 0, 0, 0
68361, 4, 4, 3.67805, 3.6535, 8.06786, 8.40797, 0.26368, 0, 0.48, 0, 0, 0
68371, 4, 4, 3.7622, 3.73765, 8.40797, 8.06085, 0.445482, 0, 0.49, 0, 0, 0
68380, 4, 4, 3.84284, 3.8183, 8.07137, 8.42199, 0.350238, 0, 0.5, 0, 0, 0
