QGPIORecord, QRC v6.1.0, 11-11-2021 @ 19:01:42, Windows 10 Version 1903, 10.0.18362, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
214260, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214272, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214280, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214290, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214300, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214310, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214320, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214330, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214340, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214350, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214361, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214370, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214380, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214390, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214401, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214410, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214420, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214430, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214440, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214450, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214460, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214470, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214480, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214490, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214500, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214510, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214520, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214531, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214540, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214550, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214560, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214571, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214580, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214590, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214600, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214610, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214620, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214630, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214640, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214650, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214661, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214670, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214680, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214690, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214701, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214710, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214720, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214730, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214740, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214750, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214760, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214770, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214780, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214790, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214800, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214810, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214820, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214831, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214840, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214850, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214860, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214871, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214880, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214890, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214900, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214910, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214920, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214930, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214940, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214950, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214960, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214970, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214980, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
214990, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215001, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215010, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215020, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215030, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215041, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215050, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215060, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215070, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215080, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215090, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215100, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215110, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215120, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215130, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215140, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215150, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215160, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215171, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215180, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215190, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215200, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
