QGPIORecord, QRC v6.1.0, 05-12-2021 @ 00:04:48, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, ValueIn10, ValueIn11
10591, 0, 0, 0, 0, 0, 0, 8.2674, -0.0445289, 0, 0, 0, 0
10600, 5.505, 5.505, 0, 0, 0, 0, 1.55902, -0.0445289, 0.01, 0, 0, 0
10610, 6.219, 6.219, 0, 0, 0, 0, 1.66222, -0.0445289, 0.02, 0, 0, 0
10620, 3.08035, 3.09579, 0.0350624, 0.0350624, 3.49923, 3.4852, 2.48787, -0.0445289, 0.03, 0, 0, 0
10631, -0.951752, -0.181535, 0.108693, 0.101681, 7.3561, 6.65835, 2.76309, -0.0429934, 0.04, 0, 0, 0
10641, -0.909885, -0.0245892, 0.178818, 0.164793, 7.01248, 6.30072, 0.423754, -0.0399225, 0.05, 0, 0, 0
10650, 3.04528, 3.6346, 0.210375, 0.192843, 3.15912, 2.8085, 8.2674, -0.0337806, 0.06, 0, 0, 0
10660, 6.40418, 6.65753, 0.213881, 0.19635, 0.347118, 0.347118, 12.3956, -0.0276386, 0.07, 0, 0, 0
10671, 5.13456, 4.61584, 0.234918, 0.224399, 2.10374, 2.80499, 8.2674, -0.0230322, 0.08, 0, 0, 0
10681, 0.9157, 1.06891, 0.298031, 0.287512, 6.31124, 6.31124, 0.69897, -0.0184258, 0.09, 0, 0, 0
10690, -0.815693, -0.268724, 0.375168, 0.357637, 7.71373, 7.3561, 0.718628, -0.0122838, 0.1, 0, 0, 0
10700, 0.746274, 2.48312, 0.431268, 0.406724, 5.94308, 4.5511, 2.07505, -0.00460644, 0.11, 0, 0, 0
10711, 5.22089, 5.62394, 0.452305, 0.424255, 1.75663, 1.75663, 2.07505, 0.00460644, 0.12, 0, 0, 0
10721, 6.0778, 5.32274, 0.46633, 0.448799, 1.39899, 2.45086, 6.20328, 0.0122838, 0.13, 0, 0, 0
10730, 2.72779, 2.20856, 0.515418, 0.504899, 4.90874, 5.60999, 8.2674, 0.0168903, 0.14, 0, 0, 0
10740, -0.339754, 0.202853, 0.592555, 0.575024, 7.70672, 7.35259, 8.2674, 0.0230322, 0.15, 0, 0, 0
10750, -0.344097, 1.78551, 0.666186, 0.63463, 7.3596, 5.60999, 8.2674, 0.0276386, 0.16, 0, 0, 0
10761, 3.56536, 4.79056, 0.701248, 0.66268, 3.50274, 2.80149, 8.2674, 0.0353161, 0.17, 0, 0, 0
10771, 6.08767, 5.86886, 0.715273, 0.683717, 1.406, 2.10725, 8.2674, 0.0429934, 0.18, 0, 0, 0
10780, 3.90636, 2.81147, 0.753842, 0.736311, 3.85336, 5.25936, 1.46795, 0.0475999, 0.19, 0, 0, 0
10790, 0.591902, 0.844248, 0.823967, 0.806436, 7.01248, 7.01248, 1.55902, 0.0506709, 0.2, 0, 0, 0
10801, -0.0776578, 1.33666, 0.897598, 0.866042, 7.3596, 6.30422, 6.20328, 0.0537418, 0.21, 0, 0, 0
10811, 2.29151, 3.84882, 0.946685, 0.908117, 4.90173, 3.85336, 8.2674, 0.0568128, 0.22, 0, 0, 0
10820, 5.00009, 5.16681, 0.971229, 0.936167, 2.45437, 2.80499, 8.2674, 0.0614192, 0.23, 0, 0, 0
10830, 4.59539, 3.17175, 1.00279, 0.985254, 3.15211, 4.90173, 2.48787, 0.0644902, 0.24, 0, 0, 0
10841, 1.76711, 1.24402, 1.06239, 1.04837, 5.96061, 6.66537, 2.76309, 0.0644902, 0.25, 0, 0, 0
10851, 0.475681, 1.786, 1.13252, 1.11148, 7.00898, 5.9571, 8.2674, 0.0644902, 0.26, 0, 0, 0
10860, 1.72909, 2.80744, 1.18862, 1.15706, 5.60999, 4.90523, 8.2674, 0.0629547, 0.27, 0, 0, 0
10870, 3.95821, 3.97522, 1.22368, 1.19563, 3.50624, 3.85687, 0.718628, 0.0629547, 0.28, 0, 0, 0
10881, 4.17151, 3.75243, 1.25874, 1.24121, 3.50624, 4.20749, 8.2674, 0.0629547, 0.29, 0, 0, 0
10891, 2.46622, 1.94699, 1.31133, 1.30082, 5.24884, 5.95009, 8.2674, 0.0598837, 0.3, 0, 0, 0
10901, 1.26485, 1.42914, 1.37445, 1.36042, 6.30773, 6.29721, 8.2674, 0.0552773, 0.31, 0, 0, 0
10910, 1.83474, 2.36727, 1.43055, 1.41652, 5.62051, 5.27689, 3.54942, 0.0506709, 0.32, 0, 0, 0
10920, 3.30186, 3.50514, 1.47262, 1.45509, 4.20749, 4.20749, 3.54942, 0.0460644, 0.33, 0, 0, 0
10931, 3.41889, 4.00821, 1.5147, 1.49717, 4.20398, 3.85336, 6.20328, 0.041458, 0.34, 0, 0, 0
10941, 2.76435, 2.24948, 1.56378, 1.55327, 4.90173, 5.59947, 8.2674, 0.0353161, 0.35, 0, 0, 0
10950, 1.99087, 1.75082, 1.61988, 1.61287, 5.617, 5.97464, 8.2674, 0.0291741, 0.36, 0, 0, 0
10960, 1.9182, 2.40688, 1.67598, 1.66546, 5.60297, 5.25235, 1.55902, 0.0199612, 0.37, 0, 0, 0
10971, 2.59259, 3.52123, 1.72507, 1.70754, 4.91224, 4.20749, 6.20328, 0.0122838, 0.38, 0, 0, 0
10981, 3.38492, 3.63826, 1.76715, 1.74961, 4.20398, 4.20398, 0.718628, 0.00614192, 0.39, 0, 0, 0
10990, 3.11255, 2.59768, 1.81273, 1.80221, 4.55461, 5.25235, 8.2674, -0.00153548, 0.4, 0, 0, 0
11000, 2.40794, 1.78957, 1.86532, 1.86181, 5.25235, 5.9536, 8.2674, -0.00921288, 0.41, 0, 0, 0
11011, 1.96656, 2.79607, 1.92142, 1.9109, 5.62051, 4.91575, 2.07505, -0.0184258, 0.42, 0, 0, 0
11021, 2.28329, 3.20958, 1.97401, 1.95648, 5.25235, 4.5511, 8.2674, -0.0261032, 0.43, 0, 0, 0
11030, 3.00775, 3.2621, 2.0196, 2.00206, 4.56162, 4.56162, 8.2674, -0.0337806, 0.44, 0, 0, 0
