QGPIORecord, QRC v6.1.0, 05-12-2021 @ 14:54:47, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, ValueIn11
2380, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
2391, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
2401, 0, 0, 0, 0, 0, 0, 2.07505, 0, 0, 0, 0, 0
2410, 0, 0, 0, 0, 0, 0, 2.07505, 0, 0, 0, 0, 0
2420, 0, 0, 0, 0, 0, 0, 6.20328, 0, 0, 0, 0, 0
2430, 0, 0, 0, 0, 0, 0, 0.928316, 0, 0, 0, 0, 0
2440, 0, 0, 0, 0, 0, 0, 0.928316, 0, 0, 0, 0, 0
2450, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
2460, 0, 0, 0, 0, 0, 0, 6.20328, 0, 0, 0, 0, 0
2470, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
2480, 0, 0, 0, 0, 0, 0, 1.04299, 0, 0, 0, 0, 0
2490, 0, 0, 0, 0, 0, 0, 1.08786, 0, 0, 0, 0, 0
2500, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
2510, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
2521, 0, 0, 0, 0, 0, 0, 3.54942, 0, 0, 0, 0, 0
2530, 0, 0, 0, 0, 0, 0, 0.391999, 0, 0, 0, 0, 0
2540, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
2550, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
2561, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
2570, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
2580, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
2590, 0, 0, 0, 0, 0, 0, 0.895553, 0, 0, 0, 0, 0
2600, 0, 0, 0, 0, 0, 0, 0.928316, 0, 0, 0, 0, 0
2610, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
2620, 0, 0, 0, 0, 0, 0, 1.66222, 0, 0, 0, 0, 0
2630, 0, 0, 0, 0, 0, 0, 0.69897, 0, 0, 0, 0, 0
2640, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
2650, 0, 0, 0, 0, 0, 0, 2.76309, 0, 0, 0, 0, 0
2660, 0, 0, 0, 0, 0, 0, 0.895553, 0, 0, 0, 0, 0
2670, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
