QGPIORecord, QRC v6.1.0, 05-12-2021 @ 16:05:01, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, errorA
32611, 0, 0, 44.5608, 44.7291, 0, 0, 1.2494, 0.0460644, 0, 0, 0, 0
32620, 12, 12, 44.5608, 44.7291, 0, 0, 4.96481, 0.0491354, 0.01, 0, 0, 15
32630, 14.091, 14.091, 44.5608, 44.7291, 0, 0, 2.26269, 0.0522063, 0.02, 0, 0, 15
32641, 10.2915, 10.3252, 44.6345, 44.7993, 7.36311, 7.32103, 2.48787, 0.0552773, 0.03, 0, 0, 7.63689
32651, 5.2917, 5.30317, 44.7852, 44.95, 14.9436, 14.9366, 8.2674, 0.0583483, 0.04, 0, 0, 0.0563974
32661, 2.93215, 3.23632, 44.964, 45.1253, 17.9029, 17.5312, 0.928316, 0.0644902, 0.05, 0, 0, -2.90287
32670, 3.98047, 4.84416, 45.1253, 45.2761, 16.0866, 15.0803, 0.928316, 0.0706321, 0.06, 0, 0, -1.08664
32680, 7.99722, 8.75995, 45.2305, 45.3813, 10.8764, 10.1716, 1.2494, 0.0783095, 0.07, 0, 0, 4.12364
32691, 11.377, 11.4049, 45.3077, 45.4549, 7.37012, 7.70672, 0.478278, 0.0890579, 0.08, 0, 0, 7.62988
32701, 11.0578, 11.3052, 45.3988, 45.5496, 9.0987, 9.1022, 1.55902, 0.0982707, 0.09, 0, 0, 5.9013
32710, 7.931, 7.89184, 45.5391, 45.6898, 14.0355, 14.3966, 6.20328, 0.109019, 0.1, 0, 0, 0.964514
32720, 4.98838, 5.18779, 45.7179, 45.8687, 17.8818, 17.8818, 8.2674, 0.121303, 0.11, 0, 0, -2.88183
32731, 4.87837, 5.34706, 45.8932, 46.0405, 17.5172, 17.1806, 0.718628, 0.133587, 0.12, 0, 0, -2.51718
32741, 7.59894, 8.41469, 46.0299, 46.1702, 13.6778, 12.9661, 6.20328, 0.147406, 0.13, 0, 0, 1.32215
32750, 10.0188, 10.6449, 46.1386, 46.2754, 10.8834, 10.5328, 6.20328, 0.161225, 0.14, 0, 0, 4.11663
32760, 10.6123, 10.7263, 46.2473, 46.3911, 10.8588, 11.2095, 2.48787, 0.175045, 0.15, 0, 0, 4.14117
32771, 8.93719, 8.44125, 46.3841, 46.5348, 13.6743, 14.7262, 2.48787, 0.188864, 0.16, 0, 0, 1.32566
32781, 6.8836, 6.52714, 46.5489, 46.7066, 16.4723, 17.1666, 8.2674, 0.202683, 0.17, 0, 0, -1.47232
32790, 6.38945, 6.48598, 46.7172, 46.8749, 16.8335, 16.8405, 2.07505, 0.216503, 0.18, 0, 0, -1.83347
32800, 7.25025, 7.89839, 46.8714, 47.0222, 15.438, 14.7543, 0.561362, 0.230322, 0.19, 0, 0, -0.437983
32811, 8.8778, 9.6465, 47.0047, 47.1519, 13.3272, 12.612, 8.2674, 0.244141, 0.2, 0, 0, 1.67278
