QGPIORecord, QRC v6.1.0, 15-12-2021 @ 16:08:30, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, errorA
876340, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876350, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876361, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876370, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876380, 0.139938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876390, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876400, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876410, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876420, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876430, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876440, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876450, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876461, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876470, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876480, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876490, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876500, 0.157496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876510, 0.157496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876520, 0.136664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876530, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876540, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876550, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876560, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876570, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876580, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876591, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876600, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876610, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876620, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876631, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876640, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876650, 0.139938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876660, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876670, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876680, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876690, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876700, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876710, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876720, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876730, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876740, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876750, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876761, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876770, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876780, 0.139938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876790, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876801, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876810, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876820, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876830, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876840, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876850, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876860, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876870, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876880, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876890, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876900, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876910, 0.139938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876920, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876931, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876940, 0.157496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876950, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876960, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876971, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876980, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
876990, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877000, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877010, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877020, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877030, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877040, 0.139938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877050, 0.137306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877060, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877070, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877080, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877090, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877101, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877110, 0.157496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877120, 0.158368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877130, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877140, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877150, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877160, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877170, 0.139938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877180, 0.13927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877190, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877200, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877210, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877220, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877231, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877240, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877250, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877260, 0.157496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877271, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877280, 0.161964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877290, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877300, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877310, 0.139938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
877320, 0.161049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
