QGPIORecord, QRC v6.1.0, 16-12-2021 @ 20:58:36, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
58701, 0, 0, 0, 0, -0.0280499, 0, 0, 0.251411, -0.133706, 1.98369e-05, 0.117987, 5.03896e-05
58711, -0.931878, -0.902757, -0.03844, 0.01, -0.0280499, 0, 0, 0.249098, -0.133983, 1.98197e-05, 0.115392, 5.03724e-05
58721, -1.04553, -1.01762, -0.0368432, 0.02, -0.0280499, 0, 0, 0.251411, -0.134649, 1.98026e-05, 0.117043, 5.03552e-05
58731, -0.87202, -0.585077, -0.0352326, 0.03, -0.0350624, -0.350624, -0.697742, 0.261127, -0.13532, 1.97855e-05, 0.12611, 5.03381e-05
58741, -0.371276, -0.323809, -0.0337337, 0.04, -0.0455811, -1.04837, -1.05187, 0.249098, -0.135944, 1.97684e-05, 0.113426, 5.0321e-05
58750, -0.609849, -0.828812, -0.0322609, 0.05, -0.0490874, -0.701248, -0.350624, 0.251411, -0.136558, 1.97514e-05, 0.115129, 5.0304e-05
58761, -0.894861, -0.880175, -0.0308403, 0.06, -0.0525936, -0.347118, -0.347118, 0.249098, -0.13715, 1.97345e-05, 0.112218, 5.02869e-05
58771, -0.65486, -0.921809, -0.0294571, 0.07, -0.0560999, -0.701248, -0.350624, 0.249098, -0.137726, 1.97175e-05, 0.11164, 5.027e-05
58781, -0.649727, -0.417295, -0.028097, 0.08, -0.0666186, -0.697742, -1.05187, 0.251411, -0.138293, 1.97006e-05, 0.11339, 5.0253e-05
58790, -0.635243, -0.63474, -0.026786, 0.09, -0.0736311, -0.701248, -0.697742, 0.249098, -0.138839, 1.96838e-05, 0.110524, 5.02361e-05
58801, -0.62318, -0.621247, -0.0256925, 0.1, -0.0806436, -0.701248, -0.701248, 0.217343, -0.139295, 1.9667e-05, 0.0782357, 5.02193e-05
58811, -0.604522, -0.603488, -0.02439, 0.11, -0.087656, -0.697742, -0.697742, 0.258625, -0.139838, 1.96502e-05, 0.119073, 5.02025e-05
58821, -0.576382, -0.576396, -0.0231218, 0.12, -0.0946685, -0.701248, -0.701248, 0.258625, -0.140366, 1.96335e-05, 0.118544, 5.01857e-05
58830, -0.546371, -0.547321, -0.021887, 0.13, -0.101681, -0.701248, -0.701248, 0.258625, -0.14088, 1.96168e-05, 0.118028, 5.0169e-05
58841, -0.51506, -0.516833, -0.0206848, 0.14, -0.108693, -0.697742, -0.697742, 0.258625, -0.141381, 1.96001e-05, 0.117526, 5.01523e-05
58851, -0.477405, -0.480065, -0.0195143, 0.15, -0.115706, -0.697742, -0.697742, 0.258625, -0.141869, 1.95835e-05, 0.117037, 5.01356e-05
58861, -0.433053, -0.708398, -0.0183745, 0.16, -0.119212, -0.701248, -0.350624, 0.258625, -0.142344, 1.9567e-05, 0.116561, 5.0119e-05
58871, -0.667757, -0.437571, -0.0172648, 0.17, -0.126225, -0.350624, -0.701248, 0.258625, -0.142806, 1.95504e-05, 0.116097, 5.01025e-05
58881, -0.383285, -0.388566, -0.0161699, 0.18, -0.133237, -0.701248, -0.701248, 0.261127, -0.143263, 1.95339e-05, 0.118148, 5.00859e-05
58891, -0.332615, -0.338616, -0.0151039, 0.19, -0.14025, -0.697742, -0.697742, 0.261127, -0.143707, 1.95175e-05, 0.117703, 5.00695e-05
58901, -0.554098, -0.552196, -0.0140803, 0.2, -0.143756, -0.350624, -0.350624, 0.258625, -0.144133, 1.95011e-05, 0.114767, 5.0053e-05
58911, -0.547461, -0.546078, -0.0132805, 0.21, -0.147262, -0.347118, -0.347118, 0.22446, -0.144466, 1.94847e-05, 0.0801864, 5.00366e-05
58920, -0.247745, -0.527687, -0.012305, 0.22, -0.150768, -0.701248, -0.350624, 0.258625, -0.144873, 1.94684e-05, 0.114026, 5.00202e-05
58931, -0.462267, -0.511009, -0.0113552, 0.23, -0.154275, -0.350624, -0.347118, 0.258625, -0.145269, 1.94521e-05, 0.113629, 5.00039e-05
58941, -0.438995, -0.217162, -0.0104304, 0.24, -0.161287, -0.350624, -0.697742, 0.258625, -0.145654, 1.94358e-05, 0.113243, 4.99876e-05
58951, -0.412647, -0.41511, -0.00953, 0.25, -0.164793, -0.350624, -0.350624, 0.258625, -0.146029, 1.94196e-05, 0.112867, 4.99713e-05
58960, -0.383305, -0.386432, -0.00865331, 0.26, -0.1683, -0.350624, -0.350624, 0.258625, -0.146394, 1.94034e-05, 0.112501, 4.99551e-05
58971, -0.351048, -0.626556, -0.00779969, 0.27, -0.1683, -0.350624, 0, 0.258625, -0.14675, 1.93873e-05, 0.112144, 4.99389e-05
58981, -0.318758, -0.368936, -0.00696856, 0.28, -0.171806, -0.347118, -0.347118, 0.258625, -0.147096, 1.93712e-05, 0.111797, 4.99228e-05
58991, -0.278203, -0.0573583, -0.00614487, 0.29, -0.178818, -0.350624, -0.701248, 0.261127, -0.14744, 1.93551e-05, 0.113961, 4.99067e-05
59000, -0.237605, -0.243229, -0.0053573, 0.3, -0.182325, -0.350624, -0.350624, 0.258625, -0.147768, 1.93391e-05, 0.111124, 4.98907e-05
59011, -0.474539, -0.471989, -0.0045761, 0.31, -0.182325, 0, 0, 0.261127, -0.148093, 1.93231e-05, 0.113306, 4.98746e-05
59021, -0.479862, -0.477713, -0.00404749, 0.32, -0.182325, 0, 0, 0.220841, -0.148314, 1.93072e-05, 0.0727022, 4.98586e-05
59031, -0.197653, -0.207542, -0.00331521, 0.33, -0.185831, -0.350624, -0.347118, 0.258625, -0.148619, 1.92913e-05, 0.110271, 4.98427e-05
59041, -0.147297, -0.155478, -0.0025878, 0.34, -0.189337, -0.350624, -0.350624, 0.261127, -0.148922, 1.92754e-05, 0.112475, 4.98268e-05
59051, -0.0948717, -0.103578, -0.00189393, 0.35, -0.192843, -0.350624, -0.350624, 0.258625, -0.149211, 1.92596e-05, 0.109677, 4.98109e-05
59061, -0.320639, -0.321092, -0.00121837, 0.36, -0.192843, 0, 0, 0.258625, -0.149492, 1.92438e-05, 0.109395, 4.97951e-05
59071, -0.309522, -0.310473, -0.000560582, 0.37, -0.192843, 0, 0, 0.258625, -0.149766, 1.9228e-05, 0.109121, 4.97793e-05
59080, -0.296218, -0.297654, 7.98583e-05, 0.38, -0.192843, 0, 0, 0.258625, -0.150033, 1.92123e-05, 0.108853, 4.97636e-05
59090, -0.280435, -0.282355, 0.000717831, 0.39, -0.192843, 0, 0, 0.261127, -0.150299, 1.91967e-05, 0.111095, 4.97478e-05
59101, 0.0148132, 0.0037559, 0.00132458, 0.4, -0.19635, -0.347118, -0.347118, 0.258625, -0.150552, 1.9181e-05, 0.108333, 4.97322e-05
59111, -0.197905, -0.200732, 0.00191538, 0.41, -0.19635, 0, 0, 0.258625, -0.150798, 1.91654e-05, 0.108086, 4.97165e-05
59121, -0.176019, -0.179293, 0.00250504, 0.42, -0.19635, 0, 0, 0.261127, -0.151044, 1.91498e-05, 0.110348, 4.97009e-05
59130, -0.152522, -0.156219, 0.00306473, 0.43, -0.19635, 0, 0, 0.258625, -0.151277, 1.91343e-05, 0.107606, 4.96853e-05
59141, -0.127163, -0.131274, 0.00360968, 0.44, -0.19635, 0, 0, 0.258625, -0.151504, 1.91188e-05, 0.107379, 4.96698e-05
59151, -0.099643, -0.104166, 0.00415471, 0.45, -0.19635, 0, 0, 0.261127, -0.151731, 1.91034e-05, 0.109659, 4.96543e-05
59161, -0.0706604, -0.0755749, 0.00467094, 0.46, -0.19635, 0, 0, 0.258625, -0.151946, 1.9088e-05, 0.106936, 4.96389e-05
59170, -0.0396126, -0.0449188, 0.00518796, 0.47, -0.19635, 0, 0, 0.261127, -0.152162, 1.90726e-05, 0.109228, 4.96235e-05
59181, -0.00719526, -0.0128719, 0.00567695, 0.48, -0.19635, 0, 0, 0.258625, -0.152365, 1.90572e-05, 0.106515, 4.96081e-05
59191, 0.0268482, 0.0208108, 0.00615306, 0.49, -0.19635, 0, 0, 0.258625, -0.152564, 1.90419e-05, 0.106316, 4.95927e-05
59201, 0.0628247, 0.0564252, 0.00663106, 0.5, -0.19635, 0, 0, 0.261127, -0.152763, 1.90267e-05, 0.108625, 4.95774e-05
59210, 0.100041, 0.0933001, 0.00708207, 0.51, -0.19635, 0, 0, 0.258625, -0.152951, 1.90114e-05, 0.105928, 4.95622e-05
59220, 0.139106, 0.132021, 0.00753558, 0.52, -0.19635, 0, 0, 0.261127, -0.15314, 1.89962e-05, 0.108247, 4.95469e-05
59231, 0.17968, 0.172261, 0.00797718, 0.53, -0.19635, 0, 0, 0.261127, -0.153324, 1.89811e-05, 0.108063, 4.95317e-05
59241, 0.221373, 0.213639, 0.00839274, 0.54, -0.19635, 0, 0, 0.258625, -0.153497, 1.89659e-05, 0.105381, 4.95166e-05
59250, 0.259677, 0.251785, 0.00860056, 0.55, -0.19635, 0, 0, 0.22446, -0.153584, 1.89509e-05, 0.0710474, 4.95015e-05
59260, 0.303441, 0.295247, 0.00899967, 0.56, -0.19635, 0, 0, 0.258625, -0.15375, 1.89358e-05, 0.105128, 4.94864e-05
59271, 0.348534, 0.340045, 0.00938827, 0.57, -0.19635, 0, 0, 0.258625, -0.153912, 1.89208e-05, 0.104965, 4.94713e-05
59281, 0.117223, 0.386143, 0.00976664, 0.58, -0.19635, 0.347118, 0, 0.258625, -0.154069, 1.89058e-05, 0.104807, 4.94563e-05
59291, 0.397158, 0.161773, 0.0101351, 0.59, -0.192843, 0, 0.350624, 0.258625, -0.154223, 1.88909e-05, 0.104653, 4.94413e-05
59300, 0.446374, 0.164845, 0.0105081, 0.6, -0.189337, 0, 0.350624, 0.261127, -0.154378, 1.8876e-05, 0.107005, 4.94264e-05
59311, 0.215982, 0.44056, 0.010857, 0.61, -0.189337, 0.350624, 0, 0.258625, -0.154524, 1.88611e-05, 0.104352, 4.94115e-05
59321, 0.501888, 0.491571, 0.0111967, 0.62, -0.189337, 0, 0, 0.258625, -0.154665, 1.88463e-05, 0.10421, 4.93966e-05
59331, 0.274135, 0.544056, 0.0115418, 0.63, -0.189337, 0.350624, 0, 0.261127, -0.154809, 1.88315e-05, 0.106574, 4.93818e-05
59340, 0.281818, 0.325623, 0.0118634, 0.64, -0.185831, 0.350624, 0.350624, 0.258625, -0.154943, 1.88167e-05, 0.103931, 4.9367e-05
59351, 0.57107, 0.334138, 0.0121766, 0.65, -0.182325, 0, 0.350624, 0.258625, -0.155074, 1.8802e-05, 0.103801, 4.93522e-05
59361, 0.627075, 0.346757, 0.0124959, 0.66, -0.178818, 0, 0.347118, 0.261127, -0.155207, 1.87873e-05, 0.106175, 4.93375e-05
59371, 0.403293, 0.357847, 0.0127925, 0.67, -0.175312, 0.350624, 0.347118, 0.258625, -0.15533, 1.87726e-05, 0.103543, 4.93228e-05
59380, 0.129359, 0.633834, 0.0128635, 0.68, -0.175312, 0.701248, 0, 0.220841, -0.15536, 1.8758e-05, 0.065639, 4.93081e-05
59390, 0.656574, 0.419822, 0.0131503, 0.69, -0.171806, 0, 0.350624, 0.258625, -0.155479, 1.87434e-05, 0.103394, 4.92935e-05
59401, 0.437773, 0.43536, 0.0134296, 0.7, -0.1683, 0.347118, 0.347118, 0.258625, -0.155596, 1.87289e-05, 0.103277, 4.92789e-05
59411, 0.449388, 0.446856, 0.0137015, 0.71, -0.164793, 0.350624, 0.350624, 0.258625, -0.155709, 1.87143e-05, 0.103164, 4.92644e-05
59421, 0.467057, 0.46152, 0.0139663, 0.72, -0.161287, 0.347118, 0.350624, 0.258625, -0.155819, 1.86999e-05, 0.103053, 4.92498e-05
59430, 0.480804, 0.477407, 0.0142385, 0.73, -0.157781, 0.350624, 0.350624, 0.261127, -0.155933, 1.86854e-05, 0.105447, 4.92354e-05
59441, 0.497455, 0.493867, 0.0144891, 0.74, -0.154275, 0.350624, 0.350624, 0.258625, -0.156037, 1.8671e-05, 0.102835, 4.92209e-05
59451, 0.517743, 0.513883, 0.0147331, 0.75, -0.150768, 0.347118, 0.347118, 0.258625, -0.156139, 1.86566e-05, 0.102733, 4.92065e-05
59461, 0.53404, 0.530077, 0.0149851, 0.76, -0.147262, 0.350624, 0.350624, 0.261127, -0.156244, 1.86423e-05, 0.105136, 4.91921e-05
59470, 0.553173, 0.549035, 0.015216, 0.77, -0.143756, 0.350624, 0.350624, 0.258625, -0.15634, 1.8628e-05, 0.102531, 4.91778e-05
59481, 0.573074, 0.568765, 0.0154409, 0.78, -0.14025, 0.350624, 0.350624, 0.258625, -0.156434, 1.86137e-05, 0.102437, 4.91635e-05
