QGPIORecord, QRC v6.1.0, 16-12-2021 @ 19:39:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
20911, 0, 0, 0, 0, -3.12757, 0, 0, 0.249098, -0.24817, 2.90179e-06, 0.00102654, 3.37118e-05
20921, 5.72962, 5.55057, 0.236347, 0.01, -3.12757, 0, 0, 0.251411, -0.248478, 2.90179e-06, 0.00324118, 3.37118e-05
20931, 6.59814, 6.42122, 0.233531, 0.02, -3.12757, 0, 0, 0.258625, -0.247304, 2.90179e-06, 0.0125107, 3.37118e-05
20941, 4.61137, 4.53633, 0.228869, 0.03, -3.09251, 3.49923, 3.4852, 0.249098, -0.245362, 2.90179e-06, 0.00412928, 3.37118e-05
20951, 2.16601, 2.17512, 0.225279, 0.04, -3.02238, 7.00898, 7.00547, 0.251411, -0.243866, 2.90179e-06, 0.00833745, 3.37118e-05
20961, 1.20821, 1.51598, 0.221581, 0.05, -2.94524, 8.06436, 7.71373, 0.249098, -0.242326, 2.90179e-06, 0.00748485, 3.37118e-05
20971, 2.64828, 2.95411, 0.218843, 0.06, -2.88914, 5.96061, 5.60648, 0.251411, -0.241185, 2.90179e-06, 0.011301, 3.37118e-05
20981, 4.62532, 5.18745, 0.215897, 0.07, -2.86109, 3.50975, 2.8085, 0.249098, -0.239957, 2.90179e-06, 0.0101021, 3.37118e-05
20990, 5.24222, 5.34572, 0.213296, 0.08, -2.82954, 3.15562, 3.15562, 0.249098, -0.238873, 2.90179e-06, 0.0113001, 3.37118e-05
21001, 4.5, 4.36848, 0.210998, 0.09, -2.78045, 4.55461, 4.90523, 0.249098, -0.237916, 2.90179e-06, 0.0123581, 3.37118e-05
21011, 3.00558, 3.15687, 0.208969, 0.1, -2.71383, 6.66186, 6.65835, 0.249098, -0.23707, 2.90179e-06, 0.0132926, 3.37118e-05
21021, 2.31763, 2.75855, 0.205163, 0.11, -2.64721, 7.35259, 7.00197, 0.240277, -0.235484, 2.90179e-06, 0.00529678, 3.37118e-05
21030, 2.9207, 3.65301, 0.201801, 0.12, -2.58761, 6.31124, 5.61349, 0.240277, -0.234084, 2.90179e-06, 0.00684455, 3.37118e-05
21041, 3.9479, 4.19782, 0.198833, 0.13, -2.53852, 4.90523, 4.90523, 0.240277, -0.232847, 2.90179e-06, 0.00821148, 3.37118e-05
21051, 4.0427, 3.75348, 0.196701, 0.14, -2.48242, 4.90523, 5.60297, 0.242421, -0.231959, 2.90179e-06, 0.0115621, 3.37118e-05
21061, 2.99843, 3.19564, 0.194328, 0.15, -2.41931, 6.31124, 6.31124, 0.240277, -0.23097, 2.90179e-06, 0.0102858, 3.37118e-05
21071, 2.55812, 3.04997, 0.190363, 0.16, -2.35619, 6.67238, 6.30773, 0.232086, -0.229318, 2.90179e-06, 0.00305974, 3.37118e-05
21081, 2.49653, 3.01257, 0.180549, 0.17, -2.29659, 6.30422, 5.96762, 0.204442, -0.225229, 2.90179e-06, -0.0229721, 3.37118e-05
21091, 2.61938, 2.91134, 0.178194, 0.18, -2.23698, 5.94308, 5.94308, 0.232086, -0.224248, 2.90179e-06, 0.00866303, 3.37118e-05
21101, 3.03365, 3.03599, 0.176114, 0.19, -2.18088, 5.27339, 5.62752, 0.232086, -0.223381, 2.90179e-06, 0.0096209, 3.37118e-05
21111, 3.02265, 2.72112, 0.174277, 0.2, -2.12128, 5.24183, 5.92905, 0.232086, -0.222615, 2.90179e-06, 0.0104669, 3.37118e-05
21121, 2.6433, 2.51662, 0.170913, 0.21, -2.06167, 5.62051, 5.98165, 0.22446, -0.221214, 2.90179e-06, 0.0035879, 3.37118e-05
21131, 1.95818, 2.62722, 0.167943, 0.22, -2.00557, 6.31474, 5.61349, 0.22446, -0.219976, 2.90179e-06, 0.00495574, 3.37118e-05
21141, 2.01758, 2.50789, 0.165319, 0.23, -1.95298, 5.96061, 5.59947, 0.22446, -0.218883, 2.90179e-06, 0.00616375, 3.37118e-05
21151, 2.6353, 2.58989, 0.160988, 0.24, -1.90038, 4.90173, 5.26287, 0.215637, -0.217078, 2.90179e-06, -0.00159292, 3.37118e-05
21160, 2.54055, 2.73065, 0.157552, 0.25, -1.84779, 4.91224, 4.91224, 0.217343, -0.215647, 2.90179e-06, 0.00187437, 3.37118e-05
21171, 2.44231, 2.36318, 0.154128, 0.26, -1.7952, 4.90874, 5.25936, 0.215637, -0.21422, 2.90179e-06, 0.00156571, 3.37118e-05
21181, 2.33785, 2.21516, 0.151104, 0.27, -1.7426, 4.90874, 5.25936, 0.215637, -0.21296, 2.90179e-06, 0.00295806, 3.37118e-05
21191, 1.93048, 2.31405, 0.147303, 0.28, -1.69351, 5.24884, 4.90173, 0.210684, -0.211376, 2.90179e-06, -0.000764832, 3.37118e-05
21200, 2.28734, 2.16121, 0.143582, 0.29, -1.64443, 4.56162, 4.91224, 0.209086, -0.209826, 2.90179e-06, -0.000817075, 3.37118e-05
21211, 2.07248, 2.18351, 0.135161, 0.3, -1.59885, 4.54058, 4.53357, 0.186601, -0.206317, 2.90179e-06, -0.0217892, 3.37118e-05
21221, 2.21653, 2.31129, 0.132858, 0.31, -1.55677, 4.21801, 4.22502, 0.209086, -0.205358, 2.90179e-06, 0.00412077, 3.37118e-05
21231, 2.11932, 2.22085, 0.129421, 0.32, -1.5147, 4.20398, 4.20398, 0.202942, -0.203926, 2.90179e-06, -0.00108698, 3.37118e-05
21241, 1.73103, 2.11799, 0.126729, 0.33, -1.47262, 4.56162, 4.20749, 0.204442, -0.202804, 2.90179e-06, 0.00181071, 3.37118e-05
21251, 1.85403, 2.00606, 0.124008, 0.34, -1.43055, 4.20749, 4.20749, 0.202942, -0.20167, 2.90179e-06, 0.00140567, 3.37118e-05
