QGPIORecord, QRC v6.1.0, 16-12-2021 @ 19:43:59, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
18121, 0, 0, 0, 0, -3.16614, 0, 0, 0.249098, -0.249098, 3.04747e-05, 2.98023e-08, 0.030566
18130, 5.76573, 5.58555, 0.237836, 0.01, -3.16614, 0, 0, 0.249098, -0.249098, 3.04729e-05, 0, 0.030566
18141, 6.57644, 6.40039, 0.232392, 0.02, -3.16614, 0, 0, 0.24683, -0.24683, 3.04747e-05, 0.000110105, 0.030566
18151, 4.97294, 4.62035, 0.232387, 0.03, -3.13107, 3.15562, 3.4852, 0.24683, -0.246828, 3.04729e-05, 0.00232403, 0.030566
18161, 2.53043, 2.75411, 0.237825, 0.04, -3.06446, 7.00898, 6.65835, 0.249098, -0.249094, 3.04747e-05, 0.00459445, 0.030566
18171, 1.70653, 1.99719, 0.23783, 0.05, -2.98732, 8.07137, 7.72776, 0.249098, -0.249096, 3.04729e-05, 0.00238284, 0.030566
18181, 2.72388, 3.30132, 0.23783, 0.06, -2.92771, 6.65835, 5.9571, 0.249098, -0.249096, 3.04747e-05, 0.00238068, 0.030566
18191, 4.62729, 4.96749, 0.232392, 0.07, -2.88914, 4.20398, 3.85336, 0.24683, -0.24683, 3.04729e-05, 0.000112414, 0.030566
18201, 5.96613, 6.05293, 0.237825, 0.08, -2.85759, 3.15912, 3.15562, 0.249098, -0.249094, 3.04747e-05, 0.0045923, 0.030566
18211, 4.97539, 4.84657, 0.232392, 0.09, -2.80499, 4.89471, 5.23131, 0.24683, -0.24683, 3.04729e-05, 0.00011459, 0.030566
18221, 1.56471, 2.02352, 0.161688, 0.1, -2.73487, 7.36661, 7.03703, 0.217343, -0.21737, 3.04747e-05, -0.0271633, 0.030566
18231, 2.52792, 3.00868, 0.237756, 0.11, -2.65773, 8.06436, 7.71023, 0.249098, -0.249065, 3.04729e-05, 0.0333454, 0.030566
18241, 3.81417, 4.83829, 0.23783, 0.12, -2.60514, 6.31825, 5.26638, 0.249098, -0.249096, 3.04747e-05, 0.00241084, 0.030566
18251, 4.83142, 4.8726, 0.216681, 0.13, -2.55605, 4.5511, 4.90874, 0.240277, -0.240284, 3.04729e-05, -0.00644031, 0.030566
18260, 4.24737, 3.73023, 0.216661, 0.14, -2.48943, 5.60999, 6.66186, 0.240277, -0.240275, 3.04747e-05, 0.00216039, 0.030566
18271, 3.37774, 3.5693, 0.2218, 0.15, -2.41931, 7.00898, 7.00898, 0.242421, -0.242417, 3.04729e-05, 0.00431219, 0.030566
18281, 2.45344, 2.95259, 0.197027, 0.16, -2.34918, 7.36661, 7.00547, 0.232086, -0.232095, 3.04747e-05, -0.00811206, 0.030566
18291, 2.55916, 3.35197, 0.197003, 0.17, -2.28607, 7.00547, 6.31474, 0.232086, -0.232085, 3.04729e-05, 0.00196218, 0.030566
18300, 3.26238, 3.31228, 0.197003, 0.18, -2.22646, 5.9571, 6.30773, 0.232086, -0.232084, 3.04747e-05, 0.00197197, 0.030566
18311, 3.37618, 3.10769, 0.178719, 0.19, -2.16335, 5.26287, 5.96061, 0.22446, -0.224466, 3.04729e-05, -0.00565407, 0.030566
18321, 2.94827, 2.59708, 0.183152, 0.2, -2.10024, 5.9571, 6.66186, 0.226317, -0.226314, 3.04747e-05, 0.00363831, 0.030566
18331, 2.33133, 2.72621, 0.183157, 0.21, -2.03362, 6.66186, 6.30773, 0.226317, -0.226315, 3.04729e-05, 0.00183517, 0.030566
18341, 1.57356, 2.29748, 0.15755, 0.22, -1.97401, 6.65134, 5.9571, 0.215637, -0.215646, 3.04747e-05, -0.00884691, 0.030566
18351, 0.333624, 0.915845, 0.0939674, 0.23, -1.91791, 5.96762, 5.61349, 0.189128, -0.189153, 3.04729e-05, -0.024942, 0.030566
18361, 2.32032, 2.06425, 0.157463, 0.24, -1.86532, 4.89822, 5.58895, 0.215637, -0.21561, 3.04747e-05, 0.0274234, 0.030566
18371, 3.13553, 3.02128, 0.157525, 0.25, -1.81974, 3.86037, 4.21801, 0.215637, -0.215635, 3.04729e-05, 0.00160199, 0.030566
18381, 2.97727, 3.10208, 0.157525, 0.26, -1.77766, 4.20749, 4.20749, 0.215637, -0.215635, 3.04747e-05, 0.00157684, 0.030566
18391, 2.10956, 1.99207, 0.141819, 0.27, -1.72507, 4.90874, 5.25936, 0.209086, -0.209091, 3.04729e-05, -0.00497375, 0.030566
18401, 1.47386, 1.5996, 0.141804, 0.28, -1.66897, 5.60297, 5.60297, 0.209086, -0.209085, 3.04747e-05, 0.00141323, 0.030566
18411, 1.85563, 2.23856, 0.141804, 0.29, -1.62339, 4.91224, 4.55811, 0.209086, -0.209085, 3.04729e-05, 0.00141945, 0.030566
18421, 2.61947, 3.01962, 0.141804, 0.3, -1.58833, 3.85687, 3.50624, 0.209086, -0.209085, 3.04747e-05, 0.00141945, 0.030566
18430, 3.33093, 2.94402, 0.145635, 0.31, -1.54976, 3.15562, 3.85336, 0.210684, -0.210681, 3.04729e-05, 0.00301749, 0.030566
18441, 2.2068, 2.30693, 0.127076, 0.32, -1.50768, 4.20398, 4.20749, 0.202942, -0.202948, 3.04747e-05, -0.00628302, 0.030566
18451, 1.96125, 2.07802, 0.130654, 0.33, -1.4621, 4.56162, 4.5511, 0.204442, -0.204439, 3.04729e-05, 0.00276457, 0.030566
18461, 0.286162, 0.715056, 0.0762621, 0.34, -1.41652, 4.90874, 4.56162, 0.181755, -0.181776, 3.04747e-05, -0.0213782, 0.030566
18470, 2.02369, 1.8896, 0.127008, 0.35, -1.37445, 3.84985, 4.20398, 0.202942, -0.20292, 3.04729e-05, 0.0219287, 0.030566
18481, 2.94782, 3.01298, 0.130654, 0.36, -1.3464, 2.80499, 2.80499, 0.204442, -0.204439, 3.04747e-05, 0.00279206, 0.030566
18491, 2.39554, 2.47996, 0.113216, 0.37, -1.31484, 3.15562, 3.15912, 0.197167, -0.197173, 3.04729e-05, -0.00596552, 0.030566
18501, 1.58962, 1.43631, 0.113199, 0.38, -1.26926, 4.20749, 4.5511, 0.197167, -0.197166, 3.04747e-05, 0.0011262, 0.030566
18511, 1.00896, 1.36099, 0.116581, 0.39, -1.22368, 4.90874, 4.56162, 0.198578, -0.198576, 3.04729e-05, 0.00254399, 0.030566
18521, 1.28092, 1.39521, 0.100165, 0.4, -1.18511, 3.84635, 3.84635, 0.19173, -0.191735, 3.04747e-05, -0.0056801, 0.030566
18531, 2.0848, 2.17066, 0.103336, 0.41, -1.15706, 2.80499, 2.80499, 0.193059, -0.193057, 3.04729e-05, 0.00232539, 0.030566
18541, 2.32799, 2.13585, 0.100152, 0.42, -1.12901, 2.45788, 2.8085, 0.19173, -0.19173, 3.04747e-05, -0.000293717, 0.030566
18551, 1.8452, 1.89638, 0.100149, 0.43, -1.09745, 3.15562, 3.15562, 0.19173, -0.191729, 3.04729e-05, 0.00100122, 0.030566
18561, 1.34567, 1.41196, 0.103336, 0.44, -1.06239, 3.85687, 3.85687, 0.193059, -0.193057, 3.04747e-05, 0.0023319, 0.030566
18571, 0.88388, 1.23337, 0.0878544, 0.45, -1.02382, 3.84635, 3.49572, 0.186601, -0.186606, 3.04729e-05, -0.00542274, 0.030566
18581, 1.27841, 1.38486, 0.0878394, 0.46, -0.995773, 3.15912, 3.15912, 0.186601, -0.1866, 3.04747e-05, 0.000873134, 0.030566
18591, 0.739405, 0.857948, 0.0449159, 0.47, -0.967723, 2.45086, 2.45437, 0.168698, -0.168715, 3.04729e-05, -0.0170234, 0.030566
18600, 1.91411, 1.72202, 0.0877975, 0.48, -0.943179, 2.10374, 2.45437, 0.186601, -0.186582, 3.04747e-05, 0.0183348, 0.030566
18611, 2.06369, 2.09507, 0.0908478, 0.49, -0.922142, 2.10024, 2.10024, 0.187855, -0.187853, 3.04729e-05, 0.00215106, 0.030566
18621, 1.23073, 1.56254, 0.0762233, 0.5, -0.897598, 2.80499, 2.45437, 0.181755, -0.18176, 3.04747e-05, -0.00519022, 0.030566
18631, 0.882308, 0.999827, 0.0762091, 0.51, -0.866042, 3.15912, 3.15562, 0.181755, -0.181754, 3.04729e-05, 0.000757053, 0.030566
18640, 0.84572, 0.955933, 0.0790533, 0.52, -0.837992, 3.15211, 3.15562, 0.182941, -0.182939, 3.04747e-05, 0.00194913, 0.030566
18651, 1.86602, 1.94352, 0.0790561, 0.53, -0.816954, 1.75312, 1.75312, 0.182941, -0.18294, 3.04729e-05, 0.000792488, 0.030566
18661, 1.95287, 2.03028, 0.0790561, 0.54, -0.799423, 1.74961, 1.74961, 0.182941, -0.18294, 3.04747e-05, 0.000791356, 0.030566
18671, 1.47357, 1.56587, 0.0790561, 0.55, -0.774879, 2.45437, 2.45788, 0.182941, -0.18294, 3.04729e-05, 0.000791356, 0.030566
18681, 0.852691, 0.96642, 0.0652168, 0.56, -0.74683, 2.80149, 2.80149, 0.177169, -0.177174, 3.04747e-05, -0.00498079, 0.030566
18691, 0.87308, 1.25453, 0.070626, 0.57, -0.722286, 2.80499, 2.45437, 0.17943, -0.179428, 3.04729e-05, 0.00290893, 0.030566
18701, 1.21859, 1.36066, 0.0652085, 0.58, -0.701248, 2.10024, 2.10024, 0.177169, -0.17717, 3.04747e-05, -0.00155258, 0.030566
18711, 1.548, 1.40753, 0.0678963, 0.59, -0.683717, 1.74961, 2.10024, 0.178292, -0.17829, 3.04729e-05, 0.00177377, 0.030566
18721, 1.86603, 1.67102, 0.0678989, 0.6, -0.66268, 1.4025, 1.75312, 0.178292, -0.178291, 3.04747e-05, 0.00068073, 0.030566
18731, 1.11021, 1.16737, 0.0678989, 0.61, -0.638136, 2.45437, 2.45437, 0.178292, -0.178291, 3.04729e-05, 0.000679672, 0.030566
18741, 1.06111, 1.38991, 0.0678989, 0.62, -0.617099, 2.45086, 2.10024, 0.178292, -0.178291, 3.04747e-05, 0.000679672, 0.030566
18751, 0.750868, 1.13362, 0.0573393, 0.63, -0.596061, 2.45437, 2.10374, 0.173888, -0.173891, 3.04729e-05, -0.00372456, 0.030566
18761, 1.22066, 1.08548, 0.0573291, 0.64, -0.575024, 1.74961, 2.10374, 0.173888, -0.173887, 3.04747e-05, 0.000569686, 0.030566
18770, 1.21905, 1.312, 0.0573291, 0.65, -0.557492, 1.74961, 1.74961, 0.173888, -0.173887, 3.04729e-05, 0.000573859, 0.030566
18781, 1.15552, 1.25041, 0.0547754, 0.66, -0.539961, 1.74961, 1.74961, 0.172823, -0.172823, 3.04747e-05, -0.000491217, 0.030566
18791, 1.20282, 1.29586, 0.0573266, 0.67, -0.52243, 1.75312, 1.75312, 0.173888, -0.173886, 3.04729e-05, 0.00161234, 0.030566
18801, 0.923101, 1.02482, 0.057329, 0.68, -0.501393, 2.10024, 2.10024, 0.173888, -0.173887, 3.04747e-05, 0.000574872, 0.030566
18810, 0.910453, 1.01108, 0.047311, 0.69, -0.483861, 1.75312, 1.75312, 0.169709, -0.169713, 3.04729e-05, -0.0036045, 0.030566
18821, 0.00994112, 0.140121, 0.0118884, 0.7, -0.469836, 1.75312, 1.74961, 0.154939, -0.154954, 3.04747e-05, -0.0143005, 0.030566
18831, 0.011206, 0.133395, 0.00788523, 0.71, -0.452305, 1.4025, 1.4025, 0.153284, -0.153286, 3.04729e-05, -0.00155067, 0.030566
18841, 1.09412, 1.44945, 0.0472628, 0.72, -0.445293, 1.05187, 0.701248, 0.169709, -0.169693, 3.04747e-05, 0.0165026, 0.030566
18850, 1.9863, 1.54596, 0.0473012, 0.73, -0.43828, 0, 0.701248, 0.169709, -0.169709, 3.04729e-05, 0.000489101, 0.030566
18861, 1.05178, 1.10369, 0.0473012, 0.74, -0.424255, 1.4025, 1.39548, 0.169709, -0.169709, 3.04747e-05, 0.000473499, 0.030566
18871, 0.217129, 0.562456, 0.0473012, 0.75, -0.403218, 2.45086, 2.10024, 0.169709, -0.169709, 3.04729e-05, 0.000473484, 0.030566
18881, 0.642235, 1.01598, 0.0473012, 0.76, -0.389193, 1.75312, 1.4025, 0.169709, -0.169709, 3.04747e-05, 0.000473484, 0.030566
18891, 1.21119, 1.06824, 0.037784, 0.77, -0.378674, 0.701248, 1.05187, 0.16574, -0.165743, 3.04729e-05, -0.00349598, 0.030566
18900, 1.27181, 1.35465, 0.0377747, 0.78, -0.371662, 0.697742, 0.697742, 0.16574, -0.165739, 3.04747e-05, 0.000374347, 0.030566
18911, 1.04977, 1.1441, 0.0377747, 0.79, -0.361143, 1.04837, 1.04486, 0.16574, -0.165739, 3.04729e-05, 0.000378117, 0.030566
18921, 0.439872, 0.823126, 0.0354693, 0.8, -0.347118, 1.75663, 1.406, 0.164778, -0.164779, 3.04747e-05, -0.000583425, 0.030566
18931, 0.746423, 0.619705, 0.0401069, 0.81, -0.333093, 1.4025, 1.75312, 0.166713, -0.166711, 3.04729e-05, 0.0022893, 0.030566
18940, 0.948767, 1.04083, 0.037777, 0.82, -0.319068, 1.04837, 1.04837, 0.16574, -0.16574, 3.04747e-05, -0.000570297, 0.030566
18951, 0.140509, 0.258227, 0.00403197, 0.83, -0.312056, 1.05187, 1.05187, 0.151666, -0.15168, 3.04729e-05, -0.0136963, 0.030566
18961, 0.83892, 0.931012, 0.0377419, 0.84, -0.298031, 1.04837, 1.04837, 0.16574, -0.165726, 3.04747e-05, 0.0141002, 0.030566
18971, 0.910414, 1.2724, 0.0287218, 0.85, -0.294524, 0.701248, 0.350624, 0.161964, -0.161967, 3.04729e-05, -0.00338434, 0.030566
18980, 0.935125, 0.79942, 0.028713, 0.86, -0.284006, 0.697742, 1.04837, 0.161964, -0.161964, 3.04747e-05, 0.000283837, 0.030566
18991, 0.674364, 0.501651, 0.028713, 0.87, -0.269981, 1.05187, 1.4025, 0.161964, -0.161964, 3.04729e-05, 0.000287414, 0.030566
19001, 0.372893, 0.434729, 0.028713, 0.88, -0.255956, 1.39899, 1.39899, 0.161964, -0.161964, 3.04747e-05, 0.000287414, 0.030566
19011, 0.581407, 1.17803, 0.028713, 0.89, -0.252449, 1.05187, 0.350624, 0.161964, -0.161964, 3.04729e-05, 0.000287414, 0.030566
19021, 0.840934, 0.974245, 0.028713, 0.9, -0.245437, 0.697742, 0.701248, 0.161964, -0.161964, 3.04747e-05, 0.000287414, 0.030566
19031, 1.14117, 0.724596, 0.028713, 0.91, -0.234918, 0.350624, 1.05187, 0.161964, -0.161964, 3.04729e-05, 0.000287414, 0.030566
19041, 0.650924, 0.703536, 0.028713, 0.92, -0.224399, 1.04837, 1.04837, 0.161964, -0.161964, 3.04747e-05, 0.000287414, 0.030566
19051, 0.624801, 0.951952, 0.028713, 0.93, -0.217387, 1.05187, 0.697742, 0.161964, -0.161964, 3.04729e-05, 0.000287414, 0.030566
19061, -0.179296, 0.215843, -0.00347521, 0.94, -0.210375, 1.05187, 0.701248, 0.148539, -0.148552, 3.04747e-05, -0.0131377, 0.030566
19070, 0.729403, 0.596527, 0.0286816, 0.95, -0.203362, 0.701248, 1.04837, 0.161964, -0.161951, 3.04729e-05, 0.0133773, 0.030566
19081, 1.03543, 1.11457, 0.0287129, 0.96, -0.19635, 0.347118, 0.350624, 0.161964, -0.161964, 3.04747e-05, 0.000300169, 0.030566
19091, 0.820528, 1.18252, 0.028713, 0.97, -0.192843, 0.701248, 0.350624, 0.161964, -0.161964, 3.04729e-05, 0.000287428, 0.030566
19101, 0.353099, 0.504513, 0.0200911, 0.98, -0.182325, 1.05187, 1.05187, 0.158368, -0.158371, 3.04747e-05, -0.00330861, 0.030566
19110, 0.578249, 0.449082, 0.0200827, 0.99, -0.171806, 0.697742, 1.04837, 0.158368, -0.158368, 3.04729e-05, 0.000197604, 0.030566
19121, 0.56378, 0.660573, 0.0200827, 1, -0.164793, 0.701248, 0.701248, 0.158368, -0.158368, 3.04747e-05, 0.000201017, 0.030566
19131, 0.834961, 0.651167, 0.0200827, 1.01, -0.157781, 0.347118, 0.697742, 0.158368, -0.158368, 3.04729e-05, 0.000201017, 0.030566
19141, 0.585855, 0.90852, 0.0200827, 1.02, -0.154275, 0.701248, 0.350624, 0.158368, -0.158368, 3.04747e-05, 0.000201017, 0.030566
19150, 0.573732, 0.670525, 0.0200827, 1.03, -0.147262, 0.701248, 0.701248, 0.158368, -0.158368, 3.04729e-05, 0.000201017, 0.030566
19161, 0.335229, 0.439096, 0.0221994, 1.04, -0.136743, 1.04837, 1.04837, 0.159251, -0.15925, 3.04747e-05, 0.00108387, 0.030566
19171, 0.566643, 0.661743, 0.0222015, 1.05, -0.129731, 0.697742, 0.697742, 0.159251, -0.159251, 3.04729e-05, 0.000223085, 0.030566
19181, 0.789756, 0.877782, 0.0200848, 1.06, -0.126225, 0.350624, 0.350624, 0.158368, -0.158369, 3.04747e-05, -0.000660613, 0.030566
19191, 0.823454, 0.639748, 0.0200827, 1.07, -0.122718, 0.350624, 0.701248, 0.158368, -0.158368, 3.04729e-05, 0.000200197, 0.030566
19201, 0.576694, 0.899359, 0.0200827, 1.08, -0.115706, 0.701248, 0.350624, 0.158368, -0.158368, 3.04747e-05, 0.000201017, 0.030566
19211, 0.286877, 0.664081, 0.0200827, 1.09, -0.108693, 1.04837, 0.697742, 0.158368, -0.158368, 3.04729e-05, 0.000201017, 0.030566
19221, 0.787545, 0.377966, 0.0200827, 1.1, -0.0981748, 0.350624, 1.05187, 0.158368, -0.158368, 3.04747e-05, 0.000201017, 0.030566
19231, 0.540784, 0.591716, 0.0200827, 1.11, -0.0911623, 0.701248, 0.701248, 0.158368, -0.158368, 3.04729e-05, 0.000201017, 0.030566
19240, 0.531467, 0.854044, 0.0200827, 1.12, -0.087656, 0.697742, 0.347118, 0.158368, -0.158368, 3.04747e-05, 0.000201017, 0.030566
19251, 0.519803, 0.888242, 0.0200827, 1.13, -0.0841498, 0.697742, 0.347118, 0.158368, -0.158368, 3.04729e-05, 0.000201017, 0.030566
19261, 0.505334, 0.378972, 0.0200827, 1.14, -0.0736311, 0.701248, 1.04837, 0.158368, -0.158368, 3.04747e-05, 0.000201017, 0.030566
19271, 0.493211, 0.590463, 0.0200827, 1.15, -0.0666186, 0.701248, 0.701248, 0.158368, -0.158368, 3.04729e-05, 0.000201017, 0.030566
19280, 0.761588, 0.57834, 0.0200827, 1.16, -0.0596061, 0.350624, 0.701248, 0.158368, -0.158368, 3.04747e-05, 0.000201017, 0.030566
19291, 0.798132, 0.840669, 0.0200827, 1.17, -0.0560999, 0.347118, 0.347118, 0.158368, -0.158368, 3.04729e-05, 0.000201017, 0.030566
19301, -0.640328, -0.0110205, -0.0175232, 1.18, -0.0525936, 1.04837, 0.350624, 0.142683, -0.142699, 3.04747e-05, -0.0154838, 0.030566
19311, 0.142263, 0.291173, 0.0118253, 1.19, -0.0455811, 0.701248, 0.701248, 0.154939, -0.154927, 3.04729e-05, 0.0120653, 0.030566
19320, 0.659102, 0.246992, 0.0118539, 1.2, -0.0385687, 0, 0.701248, 0.154939, -0.154939, 3.04747e-05, 0.000130296, 0.030566
19331, 0.706087, 0.745722, 0.0118539, 1.21, -0.0385687, 0, 0, 0.154939, -0.154939, 3.04729e-05, 0.000118673, 0.030566
19341, 0.475378, 0.52369, 0.0118539, 1.22, -0.0350624, 0.347118, 0.347118, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19351, 0.193655, 0.522554, 0.0118539, 1.23, -0.0315562, 0.701248, 0.350624, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19361, -0.128778, 0.254661, 0.0118539, 1.24, -0.0245437, 1.04837, 0.697742, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19371, 0.619773, 0.479397, 0.0118539, 1.25, -0.0210375, 0, 0.350624, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19381, 0.666757, 0.483237, 0.0118539, 1.26, -0.0175312, 0, 0.347118, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19391, 0.433243, 0.753835, 0.0118539, 1.27, -0.0175312, 0.350624, 0, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19401, 0.483314, 0.848239, 0.013873, 1.28, -0.0175312, 0.350624, 0, 0.155781, -0.15578, 3.04747e-05, 0.000960797, 0.030566
19410, 0.443539, 0.312386, 0.0118559, 1.29, -0.0105187, 0.350624, 0.701248, 0.154939, -0.15494, 3.04729e-05, -0.000702456, 0.030566
19421, 0.447427, 0.270326, 0.0118539, 1.3, -0.00350624, 0.347118, 0.697742, 0.154939, -0.154939, 3.04747e-05, 0.000117853, 0.030566
19431, 0.446204, 0.766796, 0.0118539, 1.31, -0.00350624, 0.350624, 0, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19441, 0.447327, 0.813781, 0.0118539, 1.32, -0.00350624, 0.350624, 0, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19450, 0.728949, 0.589031, 0.0118539, 1.33, 0, 0, 0.350624, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19461, 0.498239, 0.321138, 0.0118539, 1.34, 0.00701248, 0.347118, 0.697742, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19471, 0.219321, 0.548591, 0.0118539, 1.35, 0.0105187, 0.697742, 0.347118, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19481, 0.452735, 0.819189, 0.0118539, 1.36, 0.0105187, 0.350624, 0, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19491, 0.734358, 0.59444, 0.0118539, 1.37, 0.014025, 0, 0.350624, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19501, 0.503648, 0.326547, 0.0118539, 1.38, 0.0210375, 0.347118, 0.697742, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19511, 0.505229, 0.554, 0.0118539, 1.39, 0.0245437, 0.347118, 0.347118, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19521, 0.223507, 0.824598, 0.0118539, 1.4, 0.0245437, 0.701248, 0, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19531, 0.508216, 0.647268, 0.013873, 1.41, 0.0280499, 0.350624, 0.350624, 0.155781, -0.15578, 3.04729e-05, 0.000960797, 0.030566
19540, -0.00394318, -0.120335, -0.0192006, 1.42, 0.0315562, 0, 0.350624, 0.141986, -0.142, 3.04747e-05, -0.0136556, 0.030566
19551, 0.672055, 0.489016, 0.0118236, 1.43, 0.0350624, 0, 0.347118, 0.154939, -0.154927, 3.04729e-05, 0.0127475, 0.030566
19561, 0.439153, 0.760204, 0.0118539, 1.44, 0.0350624, 0.350624, 0, 0.154939, -0.154939, 3.04747e-05, 0.000130966, 0.030566
19571, 0.440277, 0.535455, 0.0118539, 1.45, 0.0385687, 0.350624, 0.350624, 0.154939, -0.154939, 3.04729e-05, 0.000118673, 0.030566
19580, 0.444204, 0.539295, 0.0118539, 1.46, 0.0420749, 0.347118, 0.347118, 0.154939, -0.154939, 3.04747e-05, 0.000118658, 0.030566
19591, 0.72348, 0.809893, 0.0118539, 1.47, 0.0420749, 0, 0, 0.154939, -0.154939, 3.04729e-05, 0.000118658, 0.030566
19601, 0.302536, 0.403572, 0.00400672, 1.48, 0.0455811, 0.347118, 0.347118, 0.151666, -0.151669, 3.04747e-05, -0.00315426, 0.030566
