QGPIORecord, QRC v6.1.0, 16-12-2021 @ 20:49:30, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
28361, 0, 0, 0, 0, -3.17315, 0, 0, 0.249098, -0.248494, 9.49522e-07, 0.00062342, 3.1485e-05
28370, 5.73168, 5.55256, 0.236432, 0.01, -3.17315, 0, 0, 0.249098, -0.248513, 9.49522e-07, 0.000604019, 3.1485e-05
28381, 6.53248, 6.35762, 0.230808, 0.02, -3.17315, 0, 0, 0.24683, -0.24617, 9.49522e-07, 0.000681281, 3.1485e-05
28391, 4.51752, 4.17879, 0.22566, 0.03, -3.13458, 3.50624, 3.83583, 0.249098, -0.244025, 9.49522e-07, 0.00523642, 3.1485e-05
28401, 1.75544, 1.99798, 0.220792, 0.04, -3.06446, 7.3561, 7.00898, 0.249098, -0.241997, 9.49522e-07, 0.00733003, 3.1485e-05
28411, 1.01401, 1.60501, 0.216361, 0.05, -2.99082, 8.03981, 7.32805, 0.251411, -0.24015, 9.49522e-07, 0.0116221, 3.1485e-05
28421, 2.36636, 2.98583, 0.211998, 0.06, -2.93823, 5.97464, 5.28391, 0.249098, -0.238333, 9.49522e-07, 0.0111116, 3.1485e-05
28431, 4.29987, 5.23099, 0.207873, 0.07, -2.91369, 3.50624, 2.45437, 0.249098, -0.236614, 9.49522e-07, 0.0128857, 3.1485e-05
28441, 5.07102, 5.0401, 0.201472, 0.08, -2.88564, 2.80499, 3.15562, 0.215637, -0.233947, 9.49522e-07, -0.0188981, 3.1485e-05
28451, 4.29045, 3.97982, 0.19775, 0.09, -2.83304, 4.20749, 4.90874, 0.24683, -0.232396, 9.49522e-07, 0.0148981, 3.1485e-05
28461, 2.7625, 2.95866, 0.194399, 0.1, -2.76993, 6.30773, 6.30773, 0.249098, -0.231, 9.49522e-07, 0.0186801, 3.1485e-05
28471, 1.80089, 2.83788, 0.191231, 0.11, -2.70682, 7.34558, 6.29721, 0.249098, -0.22968, 9.49522e-07, 0.0200427, 3.1485e-05
28481, 2.3473, 3.2317, 0.188235, 0.12, -2.65072, 6.31825, 5.61349, 0.249098, -0.228431, 9.49522e-07, 0.0213311, 3.1485e-05
28491, 3.60639, 3.99221, 0.185402, 0.13, -2.60514, 4.55811, 4.56162, 0.249098, -0.227251, 9.49522e-07, 0.0225495, 3.1485e-05
28500, 3.94463, 3.50856, 0.182064, 0.14, -2.55254, 4.20749, 5.26287, 0.240277, -0.22586, 9.49522e-07, 0.0148806, 3.1485e-05
28511, 2.92302, 3.2041, 0.178907, 0.15, -2.49644, 5.60297, 5.60297, 0.240277, -0.224545, 9.49522e-07, 0.016238, 3.1485e-05
28521, 1.70599, 2.84228, 0.176083, 0.16, -2.43684, 7.00898, 5.9536, 0.242421, -0.223368, 9.49522e-07, 0.0196651, 3.1485e-05
28531, 2.24518, 2.94692, 0.17264, 0.17, -2.38074, 5.9571, 5.60999, 0.232086, -0.221933, 9.49522e-07, 0.0104795, 3.1485e-05
28540, 2.90803, 3.09074, 0.169533, 0.18, -2.32814, 4.91575, 5.26638, 0.234079, -0.220639, 9.49522e-07, 0.0138721, 3.1485e-05
28551, 3.1547, 2.73857, 0.166594, 0.19, -2.27204, 4.55461, 5.60999, 0.234079, -0.219414, 9.49522e-07, 0.0151356, 3.1485e-05
28561, 2.59293, 2.60451, 0.163667, 0.2, -2.21594, 5.24884, 5.59947, 0.232086, -0.218195, 9.49522e-07, 0.014338, 3.1485e-05
28571, 2.1434, 2.39372, 0.158834, 0.21, -2.16335, 5.617, 5.617, 0.204442, -0.216181, 9.49522e-07, -0.012116, 3.1485e-05
28580, 1.68883, 2.49897, 0.155759, 0.22, -2.11076, 5.96061, 5.25235, 0.22446, -0.2149, 9.49522e-07, 0.00986785, 3.1485e-05
28591, 2.02548, 2.63279, 0.152852, 0.23, -2.05816, 5.24884, 4.90173, 0.22446, -0.213688, 9.49522e-07, 0.0111183, 3.1485e-05
28601, 2.71121, 2.52477, 0.150102, 0.24, -2.00908, 4.20749, 4.91224, 0.22446, -0.212543, 9.49522e-07, 0.0123007, 3.1485e-05
28611, 2.39631, 2.40337, 0.146843, 0.25, -1.95999, 4.55811, 4.90874, 0.215637, -0.211185, 9.49522e-07, 0.00459532, 3.1485e-05
28621, 2.02412, 2.26825, 0.143761, 0.26, -1.9109, 4.91224, 4.91224, 0.215637, -0.2099, 9.49522e-07, 0.00592072, 3.1485e-05
28631, 1.88918, 2.40698, 0.140847, 0.27, -1.86532, 4.90173, 4.5511, 0.215637, -0.208686, 9.49522e-07, 0.00717403, 3.1485e-05
