QGPIORecord, QRC v6.1.0, 16-12-2021 @ 20:41:39, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
31611, 0, 0, 0, 0, -6.60225, 0, 0, 0.249098, -0.249098, 2.7945e-05, 0, 0.0003635
31621, 5.88897, 5.70494, 0.24292, 0.01, -6.60225, 0, 0, 0.251411, -0.251217, 2.7945e-05, 0.00231229, 0.0003635
31631, 6.60616, 6.4298, 0.232787, 0.02, -6.60225, 0, 0, 0.24683, -0.246994, 2.7945e-05, -0.0019573, 0.0003635
31641, 4.94786, 5.13477, 0.242027, 0.03, -6.5707, 3.50624, 3.14159, 0.251411, -0.250845, 2.7945e-05, 0.00674415, 0.0003635
31651, 1.97767, 2.5816, 0.2377, 0.04, -6.50408, 7.71373, 7.01248, 0.249098, -0.249042, 2.7945e-05, 0.000673965, 0.0003635
31661, 1.06639, 1.79115, 0.237346, 0.05, -6.42344, 8.75859, 8.05384, 0.249098, -0.248894, 2.7945e-05, 0.00243357, 0.0003635
31671, 2.39217, 3.15584, 0.242401, 0.06, -6.35682, 6.99846, 6.30072, 0.251411, -0.251, 2.7945e-05, 0.00488997, 0.0003635
31681, 4.83202, 5.34583, 0.237731, 0.07, -6.32175, 3.86388, 3.50975, 0.249098, -0.249055, 2.7945e-05, 0.000522092, 0.0003635
31691, 6.10674, 6.0945, 0.237349, 0.08, -6.2902, 2.80499, 3.15562, 0.249098, -0.248895, 2.7945e-05, 0.00242113, 0.0003635
31700, 5.00527, 4.99952, 0.237317, 0.09, -6.24111, 4.89822, 5.24884, 0.249098, -0.248882, 2.7945e-05, 0.00257666, 0.0003635
31711, 3.35568, 3.64489, 0.237315, 0.1, -6.16748, 7.33506, 7.32454, 0.249098, -0.248881, 2.7945e-05, 0.0025894, 0.0003635
31721, 2.1672, 3.5704, 0.237314, 0.11, -6.09034, 8.79716, 7.39817, 0.249098, -0.248881, 2.7945e-05, 0.00259045, 0.0003635
31731, 3.09599, 4.11127, 0.237314, 0.12, -6.02723, 7.37363, 6.66537, 0.249098, -0.248881, 2.7945e-05, 0.00259054, 0.0003635
31740, 3.74082, 4.81426, 0.217921, 0.13, -5.97113, 5.95009, 5.25936, 0.240277, -0.2408, 2.7945e-05, -0.00623047, 0.0003635
