QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:07:26, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
25420, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151719, 2.7945e-05, -0.000626341, 0.0003635
25431, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151671, 2.7945e-05, -5.25564e-05, 0.0003635
25442, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151667, 2.7945e-05, -4.41074e-06, 0.0003635
25450, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 2.7945e-05, -3.72529e-07, 0.0003635
25460, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 2.7945e-05, -2.98023e-08, 0.0003635
25470, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 2.7945e-05, 0, 0.0003635
25481, 0, 0, 0, 0, 3.14861, 0, 0, 0.148539, -0.148801, 2.7945e-05, -0.00312744, 0.0003635
25490, 0, 0, 0, 0, 3.14861, 0, 0, 0.148539, -0.148561, 2.7945e-05, -0.000262454, 0.0003635
25500, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151406, 2.7945e-05, 0.00310542, 0.0003635
25510, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151644, 2.7945e-05, 0.000260606, 0.0003635
25521, 0, 0, 0, 0, 3.14861, 0, 0, 0.152471, -0.152401, 2.7945e-05, 0.000826076, 0.0003635
25530, 0, 0, 0, 0, 3.14861, 0, 0, 0.148539, -0.148863, 2.7945e-05, -0.00386232, 0.0003635
25540, 0, 0, 0, 0, 3.14861, 0, 0, 0.148539, -0.148566, 2.7945e-05, -0.00032413, 0.0003635
25550, 0, 0, 0, 0, 3.14861, 0, 0, 0.148539, -0.148541, 2.7945e-05, -2.71946e-05, 0.0003635
25561, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151404, 2.7945e-05, 0.00312516, 0.0003635
25571, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151644, 2.7945e-05, 0.00026226, 0.0003635
25580, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151664, 2.7945e-05, 2.2009e-05, 0.0003635
