QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:55:44, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
9710, 0, 0, 0, 0, 0, 0, 0, 0.251411, -0.251232, 2.7945e-05, 0.00213452, 0.0003635
9720, 0, 0, 0, 0, 0, 0, 0, 0.207514, -0.211182, 2.7945e-05, -0.0437179, 0.0003635
9731, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.245916, 2.7945e-05, 0.0379159, 0.0003635
9741, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.248831, 2.7945e-05, 0.00318192, 0.0003635
9750, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.249076, 2.7945e-05, 0.000267029, 0.0003635
9760, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.249097, 2.7945e-05, 2.24113e-05, 0.0003635
9771, 0, 0, 0, 0, 0, 0, 0, 0.258625, -0.257825, 2.7945e-05, 0.00952856, 0.0003635
9781, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.249831, 2.7945e-05, -0.00872706, 0.0003635
9790, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.24916, 2.7945e-05, -0.000732377, 0.0003635
9800, 0, 0, 0, 0, 0, 0, 0, 0.258625, -0.257831, 2.7945e-05, 0.00946522, 0.0003635
9810, 0, 0, 0, 0, 0, 0, 0, 0.258625, -0.258558, 2.7945e-05, 0.000794321, 0.0003635
9821, 0, 0, 0, 0, 0, 0, 0, 0.261127, -0.260911, 2.7945e-05, 0.00256863, 0.0003635
9830, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.25009, 2.7945e-05, -0.0118131, 0.0003635
9840, 0, 0, 0, 0, 0, 0, 0, 0.251411, -0.2513, 2.7945e-05, 0.00132093, 0.0003635
9850, 0, 0, 0, 0, 0, 0, 0, 0.209086, -0.212629, 2.7945e-05, -0.0422135, 0.0003635
9861, 0, 0, 0, 0, 0, 0, 0, 0.258625, -0.254765, 2.7945e-05, 0.0459962, 0.0003635
9871, 0, 0, 0, 0, 0, 0, 0, 0.258625, -0.258301, 2.7945e-05, 0.00386003, 0.0003635
9880, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.249871, 2.7945e-05, -0.00920276, 0.0003635
9890, 0, 0, 0, 0, 0, 0, 0, 0.249098, -0.249163, 2.7945e-05, -0.000772297, 0.0003635
