QGPIORecord, QRC v6.1.0, 15-12-2021 @ 23:01:59, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
83141, 0, 0, 0, 0, -2.45437, 0, 0, 0.219077, -0.249843, 2.90179e-06, -0.0340002, 3.37118e-05
83150, 4.88139, 4.72884, 0.201357, 0.01, -2.45437, 0, 0, 0.258625, -0.250679, 2.90179e-06, 0.00878185, 3.37118e-05
83161, 5.58386, 5.43431, 0.197412, 0.02, -2.45437, 0, 0, 0.249098, -0.248706, 2.90179e-06, 0.000433385, 3.37118e-05
83171, 4.05381, 3.98739, 0.194354, 0.03, -2.42632, 2.79798, 2.78396, 0.251411, -0.247177, 2.90179e-06, 0.00467856, 3.37118e-05
83181, 2.1648, 2.16102, 0.192548, 0.04, -2.37022, 5.60999, 5.60999, 0.256173, -0.246274, 2.90179e-06, 0.010939, 3.37118e-05
83191, 1.6057, 1.34857, 0.191414, 0.05, -2.3036, 6.31124, 6.66186, 0.258625, -0.245707, 2.90179e-06, 0.0142764, 3.37118e-05
83201, 2.87304, 1.98489, 0.188595, 0.06, -2.2475, 4.55811, 5.60999, 0.249098, -0.244297, 2.90179e-06, 0.00530577, 3.37118e-05
83211, 4.37187, 3.85293, 0.186095, 0.07, -2.21594, 2.79798, 3.14159, 0.249098, -0.243048, 2.90179e-06, 0.006687, 3.37118e-05
83221, 4.67855, 4.65201, 0.183878, 0.08, -2.1914, 2.81201, 2.46489, 0.249098, -0.241939, 2.90179e-06, 0.00791185, 3.37118e-05
83231, 3.88394, 3.66718, 0.181913, 0.09, -2.14933, 4.19697, 4.20048, 0.249098, -0.240956, 2.90179e-06, 0.00899802, 3.37118e-05
83240, 2.59723, 2.9745, 0.18017, 0.1, -2.09673, 5.96762, 5.26287, 0.249098, -0.240085, 2.90179e-06, 0.0099612, 3.37118e-05
83251, 2.49893, 2.15146, 0.178624, 0.11, -2.03713, 5.96061, 6.31124, 0.249098, -0.239312, 2.90179e-06, 0.0108153, 3.37118e-05
83261, 3.23555, 2.82511, 0.177253, 0.12, -1.98103, 4.90874, 5.24884, 0.249098, -0.238626, 2.90179e-06, 0.0115728, 3.37118e-05
83271, 3.56336, 3.08921, 0.176477, 0.13, -1.93545, 4.5511, 4.90523, 0.251411, -0.238239, 2.90179e-06, 0.0145567, 3.37118e-05
