QGPIORecord, QRC v6.1.0, 15-12-2021 @ 23:09:06, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
36191, 0, 0, 0, 0, -3.06446, 0, 0, 0.249098, -0.251321, 1.88531e-05, -0.00581957, 7.98631e-05
36201, 4.91523, 4.76162, 0.202753, 0.01, -3.06446, 0, 0, 0.251411, -0.251377, 1.88531e-05, 8.9407e-05, 7.98631e-05
36211, 5.61305, 5.46276, 0.198388, 0.02, -3.06446, 0, 0, 0.249098, -0.249194, 1.88531e-05, -0.000250608, 7.98631e-05
36220, 4.04501, 3.97644, 0.193951, 0.03, -3.03641, 2.8085, 2.79798, 0.24683, -0.246975, 1.88531e-05, -0.000380099, 7.98631e-05
36231, 1.95242, 1.95501, 0.195093, 0.04, -2.9768, 5.96061, 5.96061, 0.249098, -0.247547, 1.88531e-05, 0.00406258, 7.98631e-05
36241, 1.6865, 1.69992, 0.207297, 0.05, -2.91018, 6.65485, 6.65134, 0.258625, -0.253648, 1.88531e-05, 0.0130294, 7.98631e-05
36251, 3.49518, 3.17928, 0.214957, 0.06, -2.86109, 4.56513, 4.91224, 0.261127, -0.257479, 1.88531e-05, 0.0095517, 7.98631e-05
36260, 4.86726, 4.74278, 0.202957, 0.07, -2.83304, 2.80499, 2.80149, 0.249098, -0.251478, 1.88531e-05, -0.00623064, 7.98631e-05
36271, 4.63491, 4.52367, 0.198464, 0.08, -2.79798, 3.50624, 3.51325, 0.249098, -0.249232, 1.88531e-05, -0.000350311, 7.98631e-05
36281, 3.59738, 3.80506, 0.199641, 0.09, -2.74889, 5.24884, 4.89822, 0.251411, -0.249821, 1.88531e-05, 0.00416312, 7.98631e-05
36291, 2.51311, 2.80381, 0.197223, 0.1, -2.68578, 6.66186, 6.31124, 0.249098, -0.248612, 1.88531e-05, 0.00127429, 7.98631e-05
36301, 2.68202, 2.46704, 0.196318, 0.11, -2.61916, 6.31124, 6.66186, 0.249098, -0.248159, 1.88531e-05, 0.00245896, 7.98631e-05
36311, 3.48411, 3.19672, 0.185076, 0.12, -2.56657, 4.90874, 5.25936, 0.240277, -0.242538, 1.88531e-05, -0.00591859, 7.98631e-05
36321, 3.4736, 3.41527, 0.180868, 0.13, -2.51748, 4.90874, 4.90874, 0.240277, -0.240434, 1.88531e-05, -0.000409931, 7.98631e-05
36331, 3.23536, 3.19496, 0.179293, 0.14, -2.46489, 5.25235, 5.24183, 0.240277, -0.239646, 1.88531e-05, 0.00165209, 7.98631e-05
36341, 2.95579, 2.91266, 0.178703, 0.15, -2.40879, 5.61349, 5.62051, 0.240277, -0.239352, 1.88531e-05, 0.00242397, 7.98631e-05
36350, 2.39576, 2.64829, 0.168358, 0.16, -2.35269, 5.96762, 5.61349, 0.232086, -0.234179, 1.88531e-05, -0.00547802, 7.98631e-05
36361, 2.54005, 2.5564, 0.166948, 0.17, -2.29659, 5.60297, 5.60297, 0.234079, -0.233474, 1.88531e-05, 0.00158355, 7.98631e-05
36371, 2.9574, 2.42045, 0.163958, 0.18, -2.24049, 4.90173, 5.59596, 0.232086, -0.231979, 1.88531e-05, 0.00028196, 7.98631e-05
36381, 2.70978, 2.62535, 0.165301, 0.19, -2.1914, 5.26287, 5.26638, 0.234079, -0.23265, 1.88531e-05, 0.00373967, 7.98631e-05
36390, 1.66791, 1.88899, 0.123693, 0.2, -2.13881, 5.26287, 4.91224, 0.20001, -0.211846, 1.88531e-05, -0.0309869, 7.98631e-05
36401, 1.54718, 2.08344, 0.13834, 0.21, -2.08972, 5.60999, 4.90874, 0.22446, -0.21917, 1.88531e-05, 0.0138509, 7.98631e-05
36411, 2.34174, 2.12118, 0.143822, 0.22, -2.04063, 4.5511, 4.90523, 0.22446, -0.221911, 1.88531e-05, 0.00667396, 7.98631e-05
36421, 2.64396, 2.37228, 0.145875, 0.23, -1.99505, 4.20398, 4.5511, 0.22446, -0.222937, 1.88531e-05, 0.00398746, 7.98631e-05
36430, 2.68529, 2.63682, 0.146643, 0.24, -1.95298, 4.211, 4.211, 0.22446, -0.223321, 1.88531e-05, 0.00298183, 7.98631e-05
36441, 2.17012, 2.40771, 0.14693, 0.25, -1.9074, 4.90173, 4.55461, 0.22446, -0.223465, 1.88531e-05, 0.00260538, 7.98631e-05
36451, 1.56626, 1.86901, 0.136132, 0.26, -1.85831, 5.25586, 4.90523, 0.215637, -0.218066, 1.88531e-05, -0.00635907, 7.98631e-05
36461, 1.59807, 1.66933, 0.132089, 0.27, -1.80922, 4.90874, 4.90874, 0.215637, -0.216045, 1.88531e-05, -0.00106764, 7.98631e-05
36471, 2.28718, 1.79245, 0.130576, 0.28, -1.76364, 3.85336, 4.5511, 0.215637, -0.215288, 1.88531e-05, 0.000913098, 7.98631e-05
36481, 2.36839, 2.0493, 0.121913, 0.29, -1.72858, 3.50624, 3.85687, 0.209086, -0.210956, 1.88531e-05, -0.00489604, 7.98631e-05
36491, 2.08457, 2.27, 0.120645, 0.3, -1.69001, 3.85336, 3.50624, 0.210684, -0.210323, 1.88531e-05, 0.000947028, 7.98631e-05
36501, 1.71605, 2.23476, 0.118195, 0.31, -1.65495, 4.20749, 3.50274, 0.209086, -0.209098, 1.88531e-05, -2.9847e-05, 7.98631e-05
36511, 1.62038, 1.69096, 0.117278, 0.32, -1.61287, 4.19697, 4.18996, 0.209086, -0.208639, 1.88531e-05, 0.00117056, 7.98631e-05
36520, 1.89096, 1.67149, 0.120918, 0.33, -1.5708, 3.86388, 4.21801, 0.212308, -0.210459, 1.88531e-05, 0.00484192, 7.98631e-05
36531, 1.90331, 1.63903, 0.110703, 0.34, -1.53223, 3.50624, 3.85687, 0.202942, -0.205351, 1.88531e-05, -0.00630774, 7.98631e-05
36541, 1.79078, 1.75527, 0.106879, 0.35, -1.49717, 3.50624, 3.50624, 0.202942, -0.203439, 1.88531e-05, -0.00130232, 7.98631e-05
36551, 1.7239, 1.96112, 0.105447, 0.36, -1.46561, 3.50274, 3.15211, 0.202942, -0.202724, 1.88531e-05, 0.00057134, 7.98631e-05
36560, 1.67071, 1.95148, 0.104912, 0.37, -1.43405, 3.50274, 3.15562, 0.202942, -0.202456, 1.88531e-05, 0.00127271, 7.98631e-05
36571, 1.66286, 1.44992, 0.106565, 0.38, -1.39899, 3.50975, 3.85687, 0.204442, -0.203283, 1.88531e-05, 0.00303534, 7.98631e-05
36581, 1.70929, 1.44836, 0.0981921, 0.39, -1.36042, 3.15211, 3.49923, 0.197167, -0.199096, 1.88531e-05, -0.00504979, 7.98631e-05
36591, 1.36918, 1.61078, 0.0968017, 0.4, -1.32887, 3.50624, 3.15912, 0.198578, -0.198401, 1.88531e-05, 0.000463963, 7.98631e-05
