QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:58:19, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
28461,0,0,0,0,-3.40807,0,0,0.249098,-0.249846,2.79E-05,-0.00890543,0.0003635
28471,9.82103,9.51412,0.405117,0.01,-3.40807,0,0,0.251411,-0.251279,2.79E-05,0.00156495,0.0003635
28481,11.8285,11.509,0.421688,0.02,-3.40807,0,0,0.256173,-0.255422,2.79E-05,0.00894451,0.0003635
28491,8.775,8.62765,0.423023,0.03,-3.34846,5.94659,5.91503,0.256173,-0.255756,2.79E-05,0.00496751,0.0003635
28500,4.48418,4.47053,0.441285,0.04,-3.21873,12.9871,12.9976,0.261127,-0.260321,2.79E-05,0.00960147,0.0003635
28511,1.5943,1.16845,0.39868,0.05,-3.06095,15.3714,16.0305,0.249098,-0.24967,2.79E-05,-0.00681002,0.0003635
28521,-0.594271,-0.834013,0.24863,0.06,-2.92771,13.0222,13.4009,0.209086,-0.212158,2.79E-05,-0.0365968,0.0003635
28531,5.91547,5.69652,0.383159,0.07,-2.84707,8.06436,8.06085,0.249098,-0.24579,2.79E-05,0.0394272,0.0003635
28540,11.1357,11.0349,0.393997,0.08,-2.82252,2.44736,2.10024,0.249098,-0.248499,2.79E-05,0.00714032,0.0003635
28551,10.5027,10.2423,0.386558,0.09,-2.78045,4.56513,4.55811,0.24683,-0.24664,2.79E-05,0.00227094,0.0003635
28561,6.39107,6.5447,0.385959,0.1,-2.67176,10.8553,10.5187,0.24683,-0.24649,2.79E-05,0.00405616,0.0003635
28571,3.04921,3.09388,0.394222,0.11,-2.52099,15.4205,15.4205,0.249098,-0.248556,2.79E-05,0.00646824,0.0003635
28581,2.88299,2.93767,0.394888,0.12,-2.37022,15.0803,15.0558,0.249098,-0.248722,2.79E-05,0.00448504,0.0003635
28591,4.7901,4.74034,0.362619,0.13,-2.25451,11.2095,11.2305,0.240277,-0.240655,2.79E-05,-0.00449574,0.0003635
28601,8.24054,7.82659,0.367873,0.14,-2.18088,7.0195,7.36661,0.242421,-0.241968,2.79E-05,0.00539233,0.0003635
