QGPIORecord, QRC v6.1.0, 16-12-2021 @ 13:42:37, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
54641, 0, 0, 0, 0, -0.101681, 0, 0, 0.258625, -0.141892, 0.0685763, 0.116967, 0.0687442
54650, -0.381548, -0.369625, -0.0157389, 0.01, -0.101681, 0, 0, 0.261127, -0.142131, 0.0687436, 0.119235, 0.0689118
54661, -0.425943, -0.414582, -0.0149969, 0.02, -0.101681, 0, 0, 0.249098, -0.142502, 0.0689105, 0.10681, 0.0690791
54671, -0.467568, -0.456764, -0.0142619, 0.03, -0.101681, 0, 0, 0.251411, -0.142869, 0.0690771, 0.108759, 0.0692461
54681, -0.22523, -0.226482, -0.0135042, 0.04, -0.105187, -0.350624, -0.347118, 0.261127, -0.143248, 0.0692434, 0.118115, 0.0694127
54690, -0.216095, -0.215613, -0.0128112, 0.05, -0.108693, -0.350624, -0.350624, 0.249098, -0.143594, 0.0694094, 0.105715, 0.069579
54701, -0.484858, -0.476131, -0.0121243, 0.06, -0.108693, 0, 0, 0.251411, -0.143938, 0.069575, 0.107688, 0.0697449
54711, -0.515926, -0.50773, -0.0114235, 0.07, -0.108693, 0, 0, 0.258625, -0.144288, 0.0697403, 0.114566, 0.0699105
54721, -0.264091, -0.267897, -0.0107382, 0.08, -0.1122, -0.350624, -0.347118, 0.258625, -0.144631, 0.0699052, 0.114223, 0.0700758
54731, -0.244541, -0.246597, -0.0100679, 0.09, -0.115706, -0.350624, -0.350624, 0.258625, -0.144966, 0.0700699, 0.113887, 0.0702408
54740, -0.504115, -0.497873, -0.00945038, 0.1, -0.115706, 0, 0, 0.249098, -0.145275, 0.0702342, 0.104032, 0.0704054
54751, -0.526932, -0.521148, -0.00884646, 0.11, -0.115706, 0, 0, 0.249098, -0.145577, 0.0703981, 0.103729, 0.0705697
54761, -0.266254, -0.272429, -0.00821769, 0.12, -0.119212, -0.350624, -0.347118, 0.258625, -0.145891, 0.0705618, 0.11296, 0.0707337
54771, -0.238056, -0.242438, -0.00760272, 0.13, -0.122718, -0.350624, -0.350624, 0.258625, -0.146199, 0.0707251, 0.112652, 0.0708973
54780, -0.207506, -0.212351, -0.00699127, 0.14, -0.126225, -0.350624, -0.350624, 0.261127, -0.146504, 0.0708881, 0.114852, 0.0710607
54791, -0.455599, -0.452124, -0.00640324, 0.15, -0.126225, 0, 0, 0.258625, -0.146798, 0.0710507, 0.112051, 0.0712236
54801, -0.467037, -0.463998, -0.00582811, 0.16, -0.126225, 0, 0, 0.258625, -0.147086, 0.0712131, 0.111763, 0.0713863
54811, -0.200005, -0.477766, -0.00543076, 0.17, -0.126225, -0.350624, 0, 0.217343, -0.147285, 0.0713751, 0.0701985, 0.0715486
54820, -0.442743, -0.214552, -0.00487697, 0.18, -0.129731, 0, -0.350624, 0.258625, -0.147562, 0.0715368, 0.111286, 0.0717107
54831, -0.168202, -0.177784, -0.00432536, 0.19, -0.133237, -0.350624, -0.347118, 0.261127, -0.147837, 0.0716982, 0.113517, 0.0718723
54841, -0.129453, -0.13709, -0.00379586, 0.2, -0.136743, -0.347118, -0.347118, 0.258625, -0.148102, 0.0718592, 0.110745, 0.0720337
54851, -0.364236, -0.363587, -0.00327802, 0.21, -0.136743, 0, 0, 0.258625, -0.148361, 0.0720199, 0.110485, 0.0721948
54860, -0.364951, -0.364685, -0.00277153, 0.22, -0.136743, 0, 0, 0.258625, -0.148614, 0.0721803, 0.110231, 0.0723555
54871, -0.363927, -0.364037, -0.00227615, 0.23, -0.136743, 0, 0, 0.258625, -0.148862, 0.0723404, 0.109983, 0.0725159
54881, -0.0835096, -0.0926648, -0.00179169, 0.24, -0.14025, -0.347118, -0.347118, 0.258625, -0.149104, 0.0725002, 0.10974, 0.072676
54891, -0.0306737, -0.312017, -0.00130785, 0.25, -0.14025, -0.350624, 0, 0.261127, -0.149346, 0.0726596, 0.112005, 0.0728357
54900, -0.259266, -0.0345883, -0.000844628, 0.26, -0.143756, 0, -0.350624, 0.258625, -0.149578, 0.0728187, 0.109266, 0.0729951
54910, -0.251388, -0.252933, -0.000381559, 0.27, -0.143756, 0, 0, 0.261127, -0.149809, 0.0729775, 0.111541, 0.0731543
54921, -0.242163, -0.244044, 6.13332e-05, 0.28, -0.143756, 0, 0, 0.258625, -0.150031, 0.073136, 0.108812, 0.0733131
54931, -0.23142, -0.233629, 0.00049448, 0.29, -0.143756, 0, 0, 0.258625, -0.150247, 0.0732942, 0.108595, 0.0734716
54941, -0.218947, -0.221485, 0.000928134, 0.3, -0.143756, 0, 0, 0.261127, -0.150464, 0.073452, 0.110885, 0.0736297
54950, -0.205229, -0.208081, 0.00134224, 0.31, -0.143756, 0, 0, 0.258625, -0.150671, 0.0736096, 0.10817, 0.0737876
54961, -0.19009, -0.193249, 0.00174725, 0.32, -0.143756, 0, 0, 0.258625, -0.150874, 0.0737668, 0.107967, 0.0739451
54971, -0.173562, -0.17702, 0.00214338, 0.33, -0.143756, 0, 0, 0.258625, -0.151072, 0.0739237, 0.107769, 0.0741023
54981, -0.156597, -0.16032, 0.00249273, 0.34, -0.143756, 0, 0, 0.249098, -0.151246, 0.0740803, 0.0980481, 0.0742592
54990, -0.138435, -0.142416, 0.00283438, 0.35, -0.143756, 0, 0, 0.249098, -0.151417, 0.0742365, 0.097877, 0.0744158
55001, -0.118176, -0.122439, 0.00320664, 0.36, -0.143756, 0, 0, 0.258625, -0.151603, 0.0743925, 0.107236, 0.0745721
55011, -0.0966391, -0.101179, 0.00357074, 0.37, -0.143756, 0, 0, 0.258625, -0.151785, 0.0745482, 0.107054, 0.0747281
55021, -0.073611, -0.0784281, 0.00393683, 0.38, -0.143756, 0, 0, 0.261127, -0.151968, 0.0747035, 0.109377, 0.0748837
55030, -0.049569, -0.0546498, 0.00428489, 0.39, -0.143756, 0, 0, 0.258625, -0.152142, 0.0748585, 0.106696, 0.0750391
55041, -0.0283364, -0.0335499, 0.00446016, 0.4, -0.143756, 0, 0, 0.217343, -0.15223, 0.0750133, 0.0652432, 0.0751941
55051, -0.00683023, -0.0121634, 0.00461805, 0.41, -0.143756, 0, 0, 0.213959, -0.152309, 0.0751677, 0.0617735, 0.0753488
55061, 0.0195492, 0.0139637, 0.00495115, 0.42, -0.143756, 0, 0, 0.258625, -0.152476, 0.0753218, 0.106362, 0.0755032
55070, 0.0470712, 0.0412389, 0.00527692, 0.43, -0.143756, 0, 0, 0.258625, -0.152638, 0.0754756, 0.106199, 0.0756573
55080, 0.075711, 0.0696373, 0.00559554, 0.44, -0.143756, 0, 0, 0.258625, -0.152798, 0.0756291, 0.106039, 0.0758111
55091, 0.105687, 0.0993693, 0.00591716, 0.45, -0.143756, 0, 0, 0.261127, -0.152959, 0.0757822, 0.108385, 0.0759646
55101, 0.136523, 0.129975, 0.00622171, 0.46, -0.143756, 0, 0, 0.258625, -0.153111, 0.0759351, 0.105726, 0.0761178
