QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:52:46, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
44981, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0.000794321, 0.030566
44990, 0, 0, 0, 0, 3.14861, 0, 0, 0.136664, -0.136679, 3.04747e-05, -0.0150014, 0.030566
45001, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151651, 3.04729e-05, 0.0149873, 0.030566
45010, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 1.49608e-05, 0.030566
45021, 0, 0, 0, 0, 3.14861, 0, 0, 0.150871, -0.150872, 3.04729e-05, -0.000795096, 0.030566
45030, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0.000794321, 0.030566
45040, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 7.89762e-07, 0.030566
45050, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45061, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45071, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45080, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45090, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45101, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45111, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45120, 0, 0, 0, 0, 3.14861, 0, 0, 0.136664, -0.136679, 3.04729e-05, -0.0150022, 0.030566
45130, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151651, 3.04747e-05, 0.0149873, 0.030566
45140, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 1.49608e-05, 0.030566
45151, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 1.49012e-08, 0.030566
45160, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45170, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45180, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45191, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45200, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45210, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45220, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45231, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45241, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45250, 0, 0, 0, 0, 3.14861, 0, 0, 0.136664, -0.136679, 3.04747e-05, -0.0150022, 0.030566
45260, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151651, 3.04729e-05, 0.0149873, 0.030566
45271, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 1.49608e-05, 0.030566
45281, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 1.49012e-08, 0.030566
45290, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45300, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45310, 0, 0, 0, 0, 3.14861, 0, 0, 0.150871, -0.150872, 3.04747e-05, -0.000795111, 0.030566
45321, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0.000794321, 0.030566
45330, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 7.89762e-07, 0.030566
45340, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45350, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45361, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45370, 0, 0, 0, 0, 3.14861, 0, 0, 0.150871, -0.150872, 3.04747e-05, -0.000795111, 0.030566
45380, 0, 0, 0, 0, 3.14861, 0, 0, 0.136029, -0.136044, 3.04729e-05, -0.0148429, 0.030566
45390, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151651, 3.04747e-05, 0.0156224, 0.030566
45401, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 1.55866e-05, 0.030566
45411, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 1.49012e-08, 0.030566
45420, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45430, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
45441, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04729e-05, 0, 0.030566
45451, 0, 0, 0, 0, 3.14861, 0, 0, 0.151666, -0.151666, 3.04747e-05, 0, 0.030566
