QGPIORecord, QRC v6.1.0, 16-12-2021 @ 00:11:03, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
20711, 0, 0, 0, 0, -3.09601, 0, 0, 0.258625, -0.256572, 8.24112e-06, 0.00281247, 4.17966e-05
20721, 5.22681, 5.06347, 0.215606, 0.01, -3.09601, 0, 0, 0.261127, -0.257803, 8.24112e-06, 0.00455463, 4.17966e-05
20730, 5.86137, 5.7049, 0.20653, 0.02, -3.09601, 0, 0, 0.24683, -0.253265, 8.24112e-06, -0.00881667, 4.17966e-05
20741, 3.77761, 3.99445, 0.202513, 0.03, -3.06446, 3.50624, 3.14159, 0.251411, -0.251257, 8.24112e-06, 0.00021106, 4.17966e-05
20751, 1.37022, 1.16912, 0.181233, 0.04, -2.99784, 6.30072, 6.64783, 0.217343, -0.240617, 8.24112e-06, -0.0318888, 4.17966e-05
20761, 1.01688, 0.503654, 0.183171, 0.05, -2.92771, 6.66887, 7.37012, 0.249098, -0.241585, 8.24112e-06, 0.0102942, 4.17966e-05
20771, 2.6287, 2.24055, 0.185806, 0.06, -2.87512, 4.5511, 4.90173, 0.251411, -0.242903, 8.24112e-06, 0.0116571, 4.17966e-05
20781, 4.46548, 4.52195, 0.186441, 0.07, -2.85408, 2.45086, 2.10024, 0.249098, -0.243221, 8.24112e-06, 0.00805365, 4.17966e-05
20791, 5.1726, 4.72516, 0.186895, 0.08, -2.83304, 2.10374, 2.45086, 0.249098, -0.243448, 8.24112e-06, 0.0077423, 4.17966e-05
20801, 3.9603, 3.79162, 0.187221, 0.09, -2.78746, 4.211, 4.20749, 0.249098, -0.24361, 8.24112e-06, 0.00751962, 4.17966e-05
20811, 2.49385, 2.64645, 0.187453, 0.1, -2.72786, 6.2902, 5.93957, 0.249098, -0.243726, 8.24112e-06, 0.00736035, 4.17966e-05
20820, 2.10396, 2.30124, 0.187619, 0.11, -2.66474, 6.6829, 6.3463, 0.249098, -0.24381, 8.24112e-06, 0.00724645, 4.17966e-05
20831, 2.84031, 3.0654, 0.187738, 0.12, -2.61215, 5.60297, 5.25235, 0.249098, -0.243869, 8.24112e-06, 0.00716497, 4.17966e-05
20841, 3.85448, 3.82507, 0.183057, 0.13, -2.57008, 4.20749, 4.20398, 0.240277, -0.241529, 8.24112e-06, -0.00171432, 4.17966e-05
20851, 3.94854, 3.64497, 0.179709, 0.14, -2.52449, 4.20749, 4.56162, 0.240277, -0.239855, 8.24112e-06, 0.000579387, 4.17966e-05
20860, 2.93045, 3.16362, 0.177314, 0.15, -2.4719, 5.60999, 5.25936, 0.240277, -0.238657, 8.24112e-06, 0.00221996, 4.17966e-05
20871, 2.88883, 2.63559, 0.17676, 0.16, -2.4158, 5.60648, 5.94308, 0.242421, -0.23838, 8.24112e-06, 0.00553679, 4.17966e-05
20881, 2.35184, 2.59478, 0.155842, 0.17, -2.3597, 5.60297, 5.26287, 0.204442, -0.227921, 8.24112e-06, -0.0321702, 4.17966e-05
20891, 2.50817, 2.52353, 0.155818, 0.18, -2.30711, 5.26287, 5.26287, 0.232086, -0.227909, 8.24112e-06, 0.00572364, 4.17966e-05
20900, 2.74918, 2.75479, 0.156877, 0.19, -2.25802, 4.90523, 4.90523, 0.234079, -0.228439, 8.24112e-06, 0.00772794, 4.17966e-05
20911, 2.43834, 2.45849, 0.156558, 0.2, -2.20893, 5.25936, 5.25235, 0.232086, -0.228279, 8.24112e-06, 0.00521657, 4.17966e-05
20921, 2.64873, 2.38123, 0.15633, 0.21, -2.15634, 4.90523, 5.25936, 0.232086, -0.228165, 8.24112e-06, 0.00537287, 4.17966e-05
20931, 2.3367, 2.57812, 0.156167, 0.22, -2.10374, 5.26287, 4.91224, 0.232086, -0.228084, 8.24112e-06, 0.00548466, 4.17966e-05
20941, 1.88689, 2.4578, 0.15193, 0.23, -2.05466, 5.60999, 4.90874, 0.22446, -0.225965, 8.24112e-06, -0.00206144, 4.17966e-05
20951, 2.25124, 2.08317, 0.148899, 0.24, -2.00206, 4.89822, 5.24884, 0.22446, -0.22445, 8.24112e-06, 1.47671e-05, 4.17966e-05
20961, 2.42308, 2.20763, 0.146732, 0.25, -1.95298, 4.55461, 4.89822, 0.22446, -0.223366, 8.24112e-06, 0.00149977, 4.17966e-05
20971, 2.36573, 2.37027, 0.145181, 0.26, -1.9074, 4.56162, 4.56513, 0.22446, -0.222591, 8.24112e-06, 0.00256191, 4.17966e-05
20981, 2.35037, 2.35971, 0.145076, 0.27, -1.86181, 4.5511, 4.5476, 0.226317, -0.222538, 8.24112e-06, 0.00517838, 4.17966e-05
20990, 1.89666, 2.1863, 0.139229, 0.28, -1.81623, 4.91575, 4.56863, 0.215637, -0.219615, 8.24112e-06, -0.00545013, 4.17966e-05
21001, 1.99869, 2.05868, 0.135048, 0.29, -1.77065, 4.5476, 4.5476, 0.215637, -0.217524, 8.24112e-06, -0.00258546, 4.17966e-05
21011, 1.48872, 1.5655, 0.117046, 0.3, -1.72858, 4.56513, 4.56162, 0.187855, -0.208523, 8.24112e-06, -0.028318, 4.17966e-05
21021, 1.8881, 1.67425, 0.115642, 0.31, -1.6865, 3.85687, 4.20749, 0.209086, -0.207821, 8.24112e-06, 0.00173366, 4.17966e-05
21030, 2.12187, 2.12515, 0.115501, 0.32, -1.64793, 3.50274, 3.50274, 0.210684, -0.207751, 8.24112e-06, 0.00401975, 4.17966e-05
21041, 1.81484, 2.09943, 0.114537, 0.33, -1.61287, 3.85687, 3.50624, 0.209086, -0.207268, 8.24112e-06, 0.00249076, 4.17966e-05
21051, 1.46993, 1.80958, 0.113847, 0.34, -1.5743, 4.20398, 3.85336, 0.209086, -0.206924, 8.24112e-06, 0.00296323, 4.17966e-05
21061, 1.63984, 1.47621, 0.113354, 0.35, -1.53573, 3.85336, 4.20048, 0.209086, -0.206677, 8.24112e-06, 0.00330117, 4.17966e-05
21071, 1.77377, 1.55341, 0.109681, 0.36, -1.49717, 3.50624, 3.86037, 0.202942, -0.204841, 8.24112e-06, -0.00260146, 4.17966e-05
21081, 1.96671, 1.9677, 0.107054, 0.37, -1.4621, 3.15562, 3.15562, 0.202942, -0.203527, 8.24112e-06, -0.000801846, 4.17966e-05
21091, 1.65504, 1.93787, 0.105175, 0.38, -1.43055, 3.50274, 3.15211, 0.202942, -0.202588, 8.24112e-06, 0.000485316, 4.17966e-05
21101, 1.57837, 1.90817, 0.103832, 0.39, -1.39899, 3.50624, 3.15562, 0.202942, -0.201916, 8.24112e-06, 0.00140595, 4.17966e-05
21111, 1.81937, 1.37627, 0.103681, 0.4, -1.36393, 3.14159, 3.83583, 0.204442, -0.20184, 8.24112e-06, 0.00356452, 4.17966e-05
21121, 1.42418, 1.70966, 0.0996425, 0.41, -1.32887, 3.51325, 3.16614, 0.197167, -0.199821, 8.24112e-06, -0.00363649, 4.17966e-05
21131, 1.57848, 1.63079, 0.096754, 0.42, -1.29731, 3.15211, 3.15562, 0.197167, -0.198377, 8.24112e-06, -0.00165765, 4.17966e-05
21141, 1.18906, 1.52935, 0.0821098, 0.43, -1.26926, 3.15912, 2.80499, 0.173888, -0.191055, 8.24112e-06, -0.0235218, 4.17966e-05
21151, 1.43841, 1.26831, 0.0842138, 0.44, -1.2377, 2.80149, 3.15211, 0.197167, -0.192107, 8.24112e-06, 0.00693338, 4.17966e-05
21160, 1.45793, 1.24033, 0.086481, 0.45, -1.20965, 2.80499, 3.15562, 0.198578, -0.19324, 8.24112e-06, 0.00731331, 4.17966e-05
21171, 1.66673, 1.66772, 0.0844023, 0.46, -1.1816, 2.45086, 2.45086, 0.19173, -0.192201, 8.24112e-06, -0.000646055, 4.17966e-05
21181, 1.36135, 1.64406, 0.0829155, 0.47, -1.15706, 2.80499, 2.45437, 0.19173, -0.191458, 8.24112e-06, 0.000372499, 4.17966e-05
21191, 1.01963, 1.35496, 0.0818521, 0.48, -1.12901, 3.15211, 2.80499, 0.19173, -0.190926, 8.24112e-06, 0.00110103, 4.17966e-05
21200, 1.19382, 1.30008, 0.0810915, 0.49, -1.10096, 2.80149, 2.79798, 0.19173, -0.190546, 8.24112e-06, 0.0016221, 4.17966e-05
21211, 1.69381, 1.23459, 0.0805475, 0.5, -1.07291, 2.10374, 2.8085, 0.19173, -0.190274, 8.24112e-06, 0.0019948, 4.17966e-05
21221, 1.46538, 1.4714, 0.0808766, 0.51, -1.05187, 2.45437, 2.45086, 0.193059, -0.190438, 8.24112e-06, 0.00359078, 4.17966e-05
21231, 1.38603, 1.66398, 0.0776225, 0.52, -1.02733, 2.45437, 2.10374, 0.186601, -0.188811, 8.24112e-06, -0.00302896, 4.17966e-05
21241, 1.05498, 1.38873, 0.075973, 0.53, -1.00279, 2.80149, 2.45086, 0.187855, -0.187987, 8.24112e-06, -0.000179648, 4.17966e-05
21251, 1.23877, 1.33886, 0.0747932, 0.54, -0.978241, 2.45437, 2.45437, 0.187855, -0.187397, 8.24112e-06, 0.00062862, 4.17966e-05
21261, 1.4606, 1.28126, 0.0732714, 0.55, -0.957204, 2.10024, 2.45086, 0.186601, -0.186636, 8.24112e-06, -4.80562e-05, 4.17966e-05
21271, 1.18586, 1.51591, 0.0728608, 0.56, -0.93266, 2.45086, 2.09673, 0.187855, -0.18643, 8.24112e-06, 0.00195242, 4.17966e-05
21281, 1.34475, 1.43799, 0.0692708, 0.57, -0.911623, 2.10374, 2.10725, 0.181755, -0.184635, 8.24112e-06, -0.00394727, 4.17966e-05
21291, 1.00139, 1.37934, 0.0667031, 0.58, -0.890585, 2.45437, 2.10374, 0.181755, -0.183352, 8.24112e-06, -0.00218818, 4.17966e-05
21301, 1.19907, 1.3432, 0.0655075, 0.59, -0.869548, 2.10024, 2.10024, 0.182941, -0.182754, 8.24112e-06, 0.000256285, 4.17966e-05
