QGPIORecord, QRC v6.1.0, 16-12-2021 @ 00:05:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
88761, 0, 0, 0, 0, -2.99433, 0, 0, 0.251411, -0.250735, 1.88531e-05, 0.0017698, 7.98631e-05
88771, 5.12054, 4.96053, 0.211222, 0.01, -2.99433, 0, 0, 0.258625, -0.255611, 1.88531e-05, 0.0078904, 7.98631e-05
88780, 5.65551, 5.50494, 0.198755, 0.02, -2.99433, 0, 0, 0.24683, -0.249377, 1.88531e-05, -0.00666885, 7.98631e-05
88791, 3.87364, 3.81424, 0.196892, 0.03, -2.96277, 3.15562, 3.14159, 0.249098, -0.248446, 1.88531e-05, 0.00170852, 7.98631e-05
88801, 1.71111, 1.72717, 0.196194, 0.04, -2.89966, 6.29721, 6.2902, 0.249098, -0.248097, 1.88531e-05, 0.00262152, 7.98631e-05
88811, 0.27021, 0.328066, 0.150458, 0.05, -2.83655, 6.65485, 6.65134, 0.212308, -0.225229, 1.88531e-05, -0.0338268, 7.98631e-05
88821, 2.07198, 2.33172, 0.178813, 0.06, -2.78746, 4.91926, 4.57214, 0.249098, -0.239406, 1.88531e-05, 0.025374, 7.98631e-05
88830, 4.93031, 4.60742, 0.189427, 0.07, -2.76642, 1.74961, 2.10024, 0.249098, -0.244713, 1.88531e-05, 0.0114801, 7.98631e-05
88841, 5.19732, 4.83654, 0.190596, 0.08, -2.74539, 2.10374, 2.45437, 0.24683, -0.245298, 1.88531e-05, 0.00401102, 7.98631e-05
88851, 3.72472, 3.92258, 0.191034, 0.09, -2.69981, 4.55811, 4.20749, 0.24683, -0.245517, 1.88531e-05, 0.00343804, 7.98631e-05
88861, 2.55515, 2.566, 0.194001, 0.1, -2.63669, 6.31124, 6.31474, 0.249098, -0.247001, 1.88531e-05, 0.00549181, 7.98631e-05
88870, 1.97014, 2.27692, 0.195112, 0.11, -2.57358, 7.00547, 6.64783, 0.249098, -0.247556, 1.88531e-05, 0.00403769, 7.98631e-05
88881, 2.95925, 3.00027, 0.195528, 0.12, -2.51398, 5.60297, 5.60297, 0.249098, -0.247764, 1.88531e-05, 0.00349338, 7.98631e-05
88891, 4.47133, 4.19197, 0.198542, 0.13, -2.4719, 3.85687, 4.211, 0.251411, -0.249271, 1.88531e-05, 0.00560193, 7.98631e-05
88901, 4.16985, 3.86241, 0.185909, 0.14, -2.42632, 4.20398, 4.55811, 0.240277, -0.242954, 1.88531e-05, -0.00700814, 7.98631e-05
88911, 3.05154, 3.01574, 0.178579, 0.15, -2.37022, 5.61349, 5.60999, 0.238173, -0.239289, 1.88531e-05, -0.00292188, 7.98631e-05
88921, 2.24719, 2.49973, 0.181085, 0.16, -2.31061, 6.66186, 6.31825, 0.242421, -0.240543, 1.88531e-05, 0.00491725, 7.98631e-05
88931, 2.62431, 2.91065, 0.179374, 0.17, -2.25451, 5.94659, 5.59596, 0.240277, -0.239687, 1.88531e-05, 0.00154564, 7.98631e-05
88941, 3.09172, 3.40722, 0.178733, 0.18, -2.20192, 5.25936, 4.90874, 0.240277, -0.239367, 1.88531e-05, 0.00238413, 7.98631e-05
88951, 3.41636, 2.95846, 0.168369, 0.19, -2.15283, 4.56513, 5.25936, 0.232086, -0.234185, 1.88531e-05, -0.00549294, 7.98631e-05
88961, 2.56507, 2.57776, 0.16449, 0.2, -2.09323, 5.59947, 5.60648, 0.232086, -0.232245, 1.88531e-05, -0.000414416, 7.98631e-05
88971, 2.16051, 2.18785, 0.163037, 0.21, -2.03362, 5.96061, 5.96061, 0.232086, -0.231519, 1.88531e-05, 0.0014866, 7.98631e-05
88981, 1.78259, 2.36375, 0.153067, 0.22, -1.98103, 5.96412, 5.25936, 0.22446, -0.226534, 1.88531e-05, -0.00542787, 7.98631e-05
88991, 2.36301, 2.1976, 0.149335, 0.23, -1.92843, 4.90874, 5.25586, 0.22446, -0.224668, 1.88531e-05, -0.000542581, 7.98631e-05
89000, 2.5651, 2.60998, 0.147938, 0.24, -1.88285, 4.5511, 4.55811, 0.22446, -0.223969, 1.88531e-05, 0.0012861, 7.98631e-05
89011, 2.53791, 2.58787, 0.147415, 0.25, -1.83727, 4.55811, 4.55811, 0.22446, -0.223708, 1.88531e-05, 0.00197063, 7.98631e-05
