QGPIORecord, QRC v6.1.0, 20-12-2021 @ 23:06:01, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
4234500, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234510, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234520, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234530, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234542, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234550, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234560, 0.226317, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234570, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234580, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234590, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234600, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234610, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234620, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234630, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234640, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234650, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234660, 0.253768, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234671, 0.240277, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234680, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234690, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234700, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234711, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234720, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234730, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234740, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234750, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234760, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234770, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234780, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234790, 0.240277, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234800, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234810, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234820, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234830, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234841, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234850, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234860, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234870, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234881, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234890, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234900, 0.253768, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234910, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234920, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234930, 0.253768, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234940, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234950, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234960, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234970, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234980, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4234990, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235000, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235011, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235020, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235030, 0.242421, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235040, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235051, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235060, 0.251411, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
4235070, 0.249098, 0, 0, 0, 0, 0, 0, 0.0153548, 0, 0, 0, 0
