QGPIORecord, QRC v6.1.0, 20-12-2021 @ 23:35:26, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
41101, 0, 0, 0, 0, -4.33722, 0, 0, 0.251411, -0.251396, 7.74894e-06, 0.000177771, 0.000100796
41111, 3.67053, 3.55583, 0.151409, 0.01, -4.33722, 0, 0, 0.251411, -0.251409, 7.74893e-06, 1.4931e-05, 0.000100796
41120, 4.31997, 4.20373, 0.153443, 0.02, -4.33722, 0, 0, 0.253768, -0.253443, 7.74894e-06, 0.00387301, 0.000100796
41131, 3.42886, 2.82415, 0.149334, 0.03, -4.31268, 1.74961, 2.44034, 0.249098, -0.249334, 7.74893e-06, -0.00281049, 0.000100796
41141, 1.57752, 1.21525, 0.138985, 0.04, -4.2671, 4.20398, 4.55461, 0.238173, -0.238985, 7.74894e-06, -0.00966761, 0.000100796
41151, 1.6464, 0.967124, 0.142016, 0.05, -4.21801, 4.211, 4.90874, 0.242421, -0.242016, 7.74893e-06, 0.00482605, 0.000100796
41161, 2.79501, 1.98624, 0.142268, 0.06, -4.18295, 2.79798, 3.49923, 0.242421, -0.242268, 7.74894e-06, 0.00182515, 0.000100796
41170, 3.82933, 3.17443, 0.142289, 0.07, -4.16191, 1.75312, 2.10374, 0.242421, -0.242289, 7.74893e-06, 0.00157584, 0.000100796
41181, 3.55825, 2.87642, 0.140327, 0.08, -4.13737, 2.45086, 2.80149, 0.240277, -0.240327, 7.74894e-06, -0.000588298, 0.000100796
41191, 2.99323, 2.56501, 0.142127, 0.09, -4.1023, 3.50624, 3.50274, 0.242421, -0.242127, 7.74893e-06, 0.00349733, 0.000100796
41201, 2.26008, 2.40197, 0.142277, 0.1, -4.06373, 4.55811, 3.85336, 0.242421, -0.242277, 7.74894e-06, 0.00171477, 0.000100796
41210, 2.46382, 2.41063, 0.140326, 0.11, -4.02166, 4.20398, 3.86037, 0.240277, -0.240326, 7.74893e-06, -0.000576764, 0.000100796
41221, 2.7915, 2.23518, 0.142127, 0.12, -3.97958, 3.85687, 4.20749, 0.242421, -0.242127, 7.74894e-06, 0.00349829, 0.000100796
41231, 2.5763, 2.25442, 0.142277, 0.13, -3.93751, 4.20398, 4.20398, 0.242421, -0.242277, 7.74893e-06, 0.00171486, 0.000100796
41241, 2.36115, 2.04643, 0.132822, 0.14, -3.89543, 4.20398, 4.20398, 0.232086, -0.232822, 7.74894e-06, -0.00876768, 0.000100796
41251, 1.86322, 1.83777, 0.125051, 0.15, -3.85336, 4.56162, 4.20749, 0.22446, -0.225051, 7.74893e-06, -0.00703363, 0.000100796
41261, 1.92433, 1.93471, 0.131391, 0.16, -3.81128, 4.5511, 4.20398, 0.232086, -0.231391, 7.74894e-06, 0.0082863, 0.000100796
41271, 2.18174, 2.22987, 0.133743, 0.17, -3.77272, 4.20749, 3.85687, 0.234079, -0.233743, 7.74893e-06, 0.00400169, 0.000100796
41281, 2.4025, 2.22266, 0.132113, 0.18, -3.73415, 3.85687, 3.84985, 0.232086, -0.232113, 7.74894e-06, -0.000319138, 0.000100796
41291, 2.24903, 2.07006, 0.124992, 0.19, -3.69558, 3.85687, 3.85687, 0.22446, -0.224992, 7.74893e-06, -0.0063317, 0.000100796
41300, 1.71148, 1.81533, 0.126101, 0.2, -3.6535, 4.5511, 4.20749, 0.226317, -0.226101, 7.74894e-06, 0.00257534, 0.000100796
41311, 1.8547, 1.72974, 0.124492, 0.21, -3.61143, 4.20398, 4.20398, 0.22446, -0.224492, 7.74893e-06, -0.000379637, 0.000100796
41321, 2.11115, 1.97913, 0.12606, 0.22, -3.57637, 3.86037, 3.85687, 0.226317, -0.22606, 7.74894e-06, 0.00306983, 0.000100796
41331, 2.39233, 2.24909, 0.12619, 0.23, -3.5378, 3.50624, 3.50624, 0.226317, -0.22619, 7.74893e-06, 0.00151822, 0.000100796
41340, 2.39571, 2.25367, 0.1245, 0.24, -3.50274, 3.50274, 3.50274, 0.22446, -0.2245, 7.74894e-06, -0.000467464, 0.000100796
41351, 2.19116, 2.05662, 0.12606, 0.25, -3.46417, 3.84985, 3.84985, 0.226317, -0.22606, 7.74893e-06, 0.00306253, 0.000100796
41361, 1.83481, 1.71128, 0.111869, 0.26, -3.4256, 3.86037, 3.86037, 0.210684, -0.211869, 7.74894e-06, -0.0141152, 0.000100796
41371, 2.1408, 1.73676, 0.115227, 0.27, -3.38703, 3.50274, 3.84985, 0.215637, -0.215227, 7.74893e-06, 0.00488669, 0.000100796
41380, 2.1784, 1.99404, 0.117068, 0.28, -3.35197, 3.50975, 3.51325, 0.217343, -0.217068, 7.74894e-06, 0.00326824, 0.000100796
41391, 2.19266, 2.282, 0.117221, 0.29, -3.32041, 3.50274, 3.15211, 0.217343, -0.217221, 7.74893e-06, 0.00144495, 0.000100796
41401, 2.20223, 2.06561, 0.117234, 0.3, -3.28535, 3.49923, 3.49923, 0.217343, -0.217234, 7.74894e-06, 0.00129348, 0.000100796
41411, 1.77526, 1.65219, 0.111136, 0.31, -3.25029, 3.85687, 3.85687, 0.210684, -0.211136, 7.74893e-06, -0.00537753, 0.000100796
41421, 1.97949, 1.84805, 0.110629, 0.32, -3.21172, 3.50624, 3.50624, 0.210684, -0.210629, 7.74894e-06, 0.000660077, 0.000100796
41431, 1.95835, 2.09867, 0.110587, 0.33, -3.18016, 3.50624, 3.15562, 0.210684, -0.210587, 7.74893e-06, 0.00116168, 0.000100796
41441, 1.9081, 1.82348, 0.109119, 0.34, -3.1451, 3.49923, 3.49923, 0.209086, -0.209119, 7.74894e-06, -0.000394672, 0.000100796
41451, 1.7712, 1.69008, 0.104743, 0.35, -3.11004, 3.50624, 3.50624, 0.204442, -0.204743, 7.74893e-06, -0.00358619, 0.000100796
41461, 1.99663, 1.63808, 0.104379, 0.36, -3.07848, 3.15912, 3.50624, 0.204442, -0.204379, 7.74894e-06, 0.000746474, 0.000100796
41470, 1.72432, 1.86965, 0.104349, 0.37, -3.04342, 3.49923, 3.14861, 0.204442, -0.204349, 7.74893e-06, 0.00110644, 0.000100796
41481, 1.51019, 1.70397, 0.0976823, 0.38, -3.01186, 3.50975, 3.16263, 0.197167, -0.197682, 7.74894e-06, -0.0061385, 0.000100796
41491, 1.86973, 1.82642, 0.103793, 0.39, -2.98031, 3.15562, 3.15562, 0.204442, -0.203793, 7.74893e-06, 0.00773652, 0.000100796
41501, 1.75045, 1.71082, 0.0989286, 0.4, -2.94875, 3.15562, 3.15562, 0.198578, -0.198929, 7.74894e-06, -0.0041768, 0.000100796
