QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:51:33, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
794440, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0940211, 0.0076623, 0.157768, 0.0076892
794450, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.0943933, 0.0077283, 0.155077, 0.00775535
794462, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0947701, 0.00779414, 0.157017, 0.00782135
794470, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.0951405, 0.00785981, 0.154328, 0.00788718
794480, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0955155, 0.00792534, 0.15627, 0.00795286
794490, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0958897, 0.0079907, 0.155895, 0.00801838
794501, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0962629, 0.00805591, 0.155521, 0.00808375
794510, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0966353, 0.00812096, 0.155148, 0.00814896
794520, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.0970012, 0.00818585, 0.152463, 0.00821401
794530, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0973718, 0.00825059, 0.154409, 0.0082789
794541, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0977415, 0.00831518, 0.154039, 0.00834364
794551, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.0981047, 0.00837961, 0.151357, 0.00840822
794560, 0, 0, 0, 0, -1.13953, 0, 0, 0.242421, -0.0984511, 0.00844388, 0.144316, 0.00847265
794570, 0, 0, 0, 0, -1.13953, 0, 0, 0.240277, -0.0987915, 0.008508, 0.141826, 0.00853693
794580, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.0991522, 0.00857197, 0.150307, 0.00860105
794591, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.0995176, 0.00863578, 0.152258, 0.00866501
794600, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.0998766, 0.00869944, 0.149581, 0.00872883
794610, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.10024, 0.00876294, 0.151534, 0.00879249
794620, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.100603, 0.0088263, 0.15117, 0.00885599
794631, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.100965, 0.0088895, 0.150808, 0.00891935
794640, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.101326, 0.00895255, 0.150446, 0.00898255
794650, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.101686, 0.00901545, 0.150085, 0.0090456
794660, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.10204, 0.0090782, 0.147412, 0.0091085
794671, 0, 0, 0, 0, -1.13953, 0, 0, 0.242421, -0.102377, 0.0091408, 0.140381, 0.00917125
794680, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.102735, 0.00920324, 0.149034, 0.00923384
794690, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.103092, 0.00926554, 0.148676, 0.00929629
794700, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.103448, 0.00932769, 0.148319, 0.00935859
794711, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.103803, 0.00938969, 0.147963, 0.00942074
794721, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.104157, 0.00945154, 0.147608, 0.00948273
794730, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.104505, 0.00951324, 0.144942, 0.00954458
794740, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.104857, 0.00957479, 0.146906, 0.00960629
794750, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.105209, 0.0096362, 0.146553, 0.00966784
794761, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.10556, 0.00969746, 0.146202, 0.00972925
794770, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.10591, 0.00975857, 0.145851, 0.00979051
794780, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.106259, 0.00981953, 0.145501, 0.00985162
794790, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.106608, 0.00988035, 0.145152, 0.00991258
794801, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.106955, 0.00994102, 0.144803, 0.0099734
794810, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.107296, 0.0100016, 0.142143, 0.0100341
794820, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.107637, 0.0100619, 0.141802, 0.0100946
794830, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.107982, 0.0101222, 0.143774, 0.010155
794841, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.10832, 0.0101823, 0.141117, 0.0102152
794850, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.108664, 0.0102422, 0.14309, 0.0102753
794860, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.109006, 0.010302, 0.142747, 0.0103353
794870, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.109348, 0.0103617, 0.142404, 0.0103951
794881, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.109689, 0.0104212, 0.142063, 0.0104547
794891, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.110024, 0.0104806, 0.139409, 0.0105142
794900, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.110363, 0.0105398, 0.141387, 0.0105736
794910, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.110701, 0.0105989, 0.141048, 0.0106328
794920, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.111039, 0.0106578, 0.140709, 0.0106919
794931, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.111376, 0.0107166, 0.140372, 0.0107509
794940, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.111707, 0.0107753, 0.137722, 0.0108097
794950, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.112042, 0.0108338, 0.139704, 0.0108684
794960, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.112376, 0.0108922, 0.139369, 0.0109269
794971, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.112704, 0.0109505, 0.136722, 0.0109853
794980, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.113037, 0.0110086, 0.138706, 0.0110435
794990, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.113369, 0.0110665, 0.138373, 0.0111016
795000, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.113701, 0.0111244, 0.138041, 0.0111596
795011, 0, 0, 0, 0, -1.13953, 0, 0, 0.242421, -0.11401, 0.011182, 0.12872, 0.0112174
795020, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.114334, 0.0112396, 0.135089, 0.0112751
795030, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.114663, 0.011297, 0.137077, 0.0113326
795040, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.114991, 0.0113543, 0.136748, 0.01139
795051, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.115318, 0.0114114, 0.13642, 0.0114473
795061, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.115645, 0.0114684, 0.136092, 0.0115045
795070, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.115971, 0.0115253, 0.135766, 0.0115615
795080, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.11629, 0.011582, 0.133127, 0.0116183
795090, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.116615, 0.0116386, 0.13512, 0.011675
795101, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.116938, 0.011695, 0.134796, 0.0117316
795110, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.117261, 0.0117513, 0.134472, 0.0117881
795120, 0, 0, 0, 0, -1.13953, 0, 0, 0.261127, -0.117606, 0.0118075, 0.143866, 0.0118444
795130, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.117927, 0.0118636, 0.133804, 0.0119006
795141, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.118248, 0.0119195, 0.133483, 0.0119566
795150, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.118562, 0.0119753, 0.130851, 0.0120125
795160, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.118881, 0.0120309, 0.132849, 0.0120683
795170, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.119199, 0.0120864, 0.13253, 0.012124
795181, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.11951, 0.0121418, 0.1299, 0.0121795
795191, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.119827, 0.012197, 0.1319, 0.0122349
795200, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.120143, 0.0122522, 0.131584, 0.0122901
795210, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.120458, 0.0123071, 0.131268, 0.0123452
795220, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.120772, 0.012362, 0.130953, 0.0124002
795231, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.12108, 0.0124167, 0.128326, 0.012455
795240, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.121393, 0.0124713, 0.130331, 0.0125098
795250, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.121705, 0.0125257, 0.130018, 0.0125643
795260, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.122016, 0.0125801, 0.129706, 0.0126188
795271, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.122327, 0.0126343, 0.129394, 0.0126731
795280, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.122637, 0.0126883, 0.129084, 0.0127273
795290, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.12294, 0.0127423, 0.126462, 0.0127814
795300, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.123248, 0.0127961, 0.128471, 0.0128353
795311, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.123551, 0.0128497, 0.12585, 0.0128891
795320, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.123857, 0.0129033, 0.12786, 0.0129428
795330, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.124164, 0.0129567, 0.127553, 0.0129963
795340, 0, 0, 0, 0, -1.13953, 0, 0, 0.251411, -0.124469, 0.01301, 0.127247, 0.0130497
795351, 0, 0, 0, 0, -1.13953, 0, 0, 0.242421, -0.124752, 0.0130631, 0.117952, 0.013103
795361, 0, 0, 0, 0, -1.13953, 0, 0, 0.242421, -0.125034, 0.0131162, 0.117669, 0.0131562
795371, 0, 0, 0, 0, -1.13953, 0, 0, 0.249098, -0.125332, 0.0131691, 0.124064, 0.0132092
795380, -4.32671, -4.1915, -0.178477, 0.01, -1.13953, 0, 0, 0.251411, -0.125635, 0.0132219, 0.126079, 0.0132621
795390, -4.91361, -4.78217, -0.173505, 0.02, -1.13953, 0, 0, 0.24683, -0.127706, 0.0132745, 0.119411, 0.0133149
795401, -3.24215, -3.1953, -0.168639, 0.03, -1.16758, -2.80149, -2.78746, 0.251411, -0.129734, 0.0133271, 0.12197, 0.0133676
795411, -1.74066, -1.47212, -0.1639, 0.04, -1.22017, -4.91224, -5.25936, 0.251411, -0.131708, 0.0133794, 0.11999, 0.0134201
795421, -1.64467, -1.59753, -0.1593, 0.05, -1.26926, -4.90173, -4.90874, 0.249098, -0.133625, 0.0134317, 0.115751, 0.0134725
795430, -3.20341, -3.11177, -0.154807, 0.06, -1.29731, -2.80499, -2.80499, 0.251411, -0.135497, 0.0134839, 0.116193, 0.0135248
795441, -3.62771, -3.80225, -0.150447, 0.07, -1.31835, -2.45086, -2.10024, 0.249098, -0.137314, 0.0135359, 0.112053, 0.0135769
795451, -2.96014, -2.93829, -0.146131, 0.08, -1.35341, -3.49923, -3.49923, 0.261127, -0.139112, 0.0135878, 0.122309, 0.0136289
795461, -2.69089, -2.40952, -0.14193, 0.09, -1.39548, -3.86037, -4.211, 0.261127, -0.140863, 0.0136396, 0.120554, 0.0136808
