QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:15:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, y, x, P, nu, S
34821, 0, 0, 0, 0, -2.70682, 0, 0, 0.240277, -0.249868, 2.63295e-07, -0.00989895, 8.73055e-06
34831, 8.7224, 8.44982, 0.359799, 0.01, -2.70682, 0, 0, 0.251411, -0.249916, 2.63295e-07, 0.00154248, 8.73055e-06
34841, 9.94421, 9.67802, 0.351371, 0.02, -2.70682, 0, 0, 0.249098, -0.246405, 2.63295e-07, 0.00278017, 8.73055e-06
34851, 7.21263, 6.81989, 0.343233, 0.03, -2.65773, 4.90874, 5.23833, 0.24683, -0.243014, 2.63295e-07, 0.00393909, 8.73055e-06
34861, 2.72058, 2.70842, 0.335879, 0.04, -2.54553, 11.1989, 11.1919, 0.251411, -0.23995, 2.63295e-07, 0.0118294, 8.73055e-06
34871, 0.956542, 0.996255, 0.32763, 0.05, -2.4158, 12.9871, 12.9801, 0.234079, -0.236513, 2.63295e-07, -0.00251189, 8.73055e-06
34881, 3.19197, 2.59862, 0.320293, 0.06, -2.31061, 9.47036, 10.1751, 0.240277, -0.233455, 2.63295e-07, 0.00704114, 8.73055e-06
34891, 6.70776, 5.64158, 0.313515, 0.07, -2.25101, 4.90874, 5.96412, 0.242421, -0.230631, 2.63295e-07, 0.0121683, 8.73055e-06
34900, 8.27109, 7.31124, 0.306946, 0.08, -2.20893, 3.50624, 4.20749, 0.240277, -0.227894, 2.63295e-07, 0.0127813, 8.73055e-06
34911, 6.39046, 6.78001, 0.300733, 0.09, -2.15283, 6.61628, 5.56441, 0.240277, -0.225305, 2.63295e-07, 0.0154529, 8.73055e-06
34921, 3.96707, 4.5883, 0.295019, 0.1, -2.06518, 9.88059, 8.8182, 0.242421, -0.222925, 2.63295e-07, 0.0201227, 8.73055e-06
34931, 2.37679, 3.16381, 0.289455, 0.11, -1.9635, 11.5461, 10.5082, 0.240277, -0.220606, 2.63295e-07, 0.0203031, 8.73055e-06
34940, 3.82003, 3.33856, 0.284354, 0.12, -1.86532, 9.13376, 9.83501, 0.242421, -0.218481, 2.63295e-07, 0.0247091, 8.73055e-06
34951, 5.6063, 4.70344, 0.278907, 0.13, -1.78468, 6.65134, 7.70321, 0.234079, -0.216211, 2.63295e-07, 0.0184416, 8.73055e-06
34961, 5.99382, 5.49209, 0.273608, 0.14, -1.71806, 6.30072, 6.65134, 0.232086, -0.214003, 2.63295e-07, 0.0186642, 8.73055e-06
34971, 5.54924, 5.57258, 0.268596, 0.15, -1.65144, 7.03001, 6.67238, 0.232086, -0.211915, 2.63295e-07, 0.0208193, 8.73055e-06
34981, 4.21062, 4.58797, 0.263858, 0.16, -1.5708, 8.74106, 8.04683, 0.232086, -0.209941, 2.63295e-07, 0.0228573, 8.73055e-06
34991, 3.96522, 3.64725, 0.259377, 0.17, -1.48314, 8.79015, 9.11623, 0.232086, -0.208074, 2.63295e-07, 0.0247844, 8.73055e-06
35001, 4.03331, 3.6423, 0.254708, 0.18, -1.39198, 8.41147, 8.76911, 0.226317, -0.206128, 2.63295e-07, 0.0208374, 8.73055e-06
35011, 4.3801, 3.93408, 0.249496, 0.19, -1.31484, 7.70672, 8.05734, 0.215637, -0.203957, 2.63295e-07, 0.0120556, 8.73055e-06
35021, 4.23335, 4.28077, 0.244694, 0.2, -1.24121, 7.72074, 7.38064, 0.217343, -0.201956, 2.63295e-07, 0.0158812, 8.73055e-06
35031, 3.81401, 4.19222, 0.240154, 0.21, -1.16407, 8.05734, 7.36311, 0.217343, -0.200064, 2.63295e-07, 0.0178338, 8.73055e-06
35041, 3.31815, 3.5359, 0.235363, 0.22, -1.08343, 8.40446, 8.05033, 0.210684, -0.198068, 2.63295e-07, 0.0130218, 8.73055e-06
35051, 3.30278, 3.01866, 0.230833, 0.23, -1.00279, 8.07838, 8.4255, 0.210684, -0.19618, 2.63295e-07, 0.0149701, 8.73055e-06
35061, 3.33763, 3.26888, 0.226082, 0.24, -0.922142, 7.71373, 7.71724, 0.204442, -0.194201, 2.63295e-07, 0.0105701, 8.73055e-06
35070, 3.67407, 3.3354, 0.22159, 0.25, -0.852017, 7.01599, 7.34908, 0.204442, -0.192329, 2.63295e-07, 0.0125019, 8.73055e-06
