QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:13:57, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
22761, 0, 0, 0, 0, -4.56863, 0, 0, 0.251411, -0.249768, 8.04643e-07, 0.00181496, 9.34803e-06
22770, 8.72289, 8.4503, 0.359819, 0.01, -4.56863, 0, 0, 0.251411, -0.249925, 8.04643e-07, 0.00164232, 9.34803e-06
22780, 9.94252, 9.67638, 0.351298, 0.02, -4.56863, 0, 0, 0.24683, -0.246374, 8.04643e-07, 0.000503734, 9.34803e-06
22791, 7.23807, 7.11899, 0.344291, 0.03, -4.51955, 4.90874, 4.88419, 0.249098, -0.243455, 8.04643e-07, 0.00623704, 9.34803e-06
22801, 2.78408, 2.54465, 0.338103, 0.04, -4.40735, 11.1919, 11.5355, 0.249098, -0.240876, 8.04643e-07, 0.00908665, 9.34803e-06
22811, 1.56787, 0.526888, 0.327868, 0.05, -4.2706, 12.2473, 13.6112, 0.228207, -0.236612, 8.04643e-07, -0.00928855, 9.34803e-06
22821, 3.65158, 2.30056, 0.324126, 0.06, -4.16191, 9.15129, 10.5889, 0.251411, -0.235052, 8.04643e-07, 0.0180779, 9.34803e-06
22831, 6.99442, 5.65528, 0.31828, 0.07, -4.1023, 4.90523, 5.9536, 0.240277, -0.232617, 8.04643e-07, 0.00846615, 9.34803e-06
22841, 8.3335, 7.91898, 0.313117, 0.08, -4.06724, 3.84985, 3.49923, 0.240277, -0.230465, 8.04643e-07, 0.0108436, 9.34803e-06
22851, 6.99202, 7.23451, 0.309046, 0.09, -4.01465, 6.32526, 5.26988, 0.242421, -0.228769, 8.04643e-07, 0.0150867, 9.34803e-06
22861, 3.95267, 4.97864, 0.304962, 0.1, -3.92699, 10.4977, 8.74807, 0.240277, -0.227067, 8.04643e-07, 0.0145986, 9.34803e-06
22871, 2.59162, 3.34852, 0.302343, 0.11, -3.8183, 11.9142, 10.8553, 0.244605, -0.225976, 8.04643e-07, 0.0205868, 9.34803e-06
22881, 3.82056, 3.03047, 0.299042, 0.12, -3.71311, 9.828, 10.8799, 0.240277, -0.224601, 8.04643e-07, 0.0173246, 9.34803e-06
22891, 6.13165, 4.86232, 0.294257, 0.13, -3.62896, 6.66887, 8.06436, 0.232086, -0.222607, 8.04643e-07, 0.0104761, 9.34803e-06
22901, 6.63159, 5.97491, 0.290485, 0.14, -3.56585, 6.29721, 6.65835, 0.234079, -0.221035, 8.04643e-07, 0.0144145, 9.34803e-06
22910, 5.4538, 5.89202, 0.2867, 0.15, -3.49222, 8.06436, 7.01248, 0.232086, -0.219458, 8.04643e-07, 0.0139558, 9.34803e-06
22921, 4.34334, 4.95639, 0.283811, 0.16, -3.40807, 9.46685, 8.41498, 0.234079, -0.218255, 8.04643e-07, 0.0174877, 9.34803e-06
22931, 4.1009, 4.04309, 0.279065, 0.17, -3.3134, 9.48438, 9.48088, 0.22446, -0.216277, 8.04643e-07, 0.00904383, 9.34803e-06
22941, 4.44826, 3.83511, 0.274872, 0.18, -3.21873, 8.75509, 9.44932, 0.22446, -0.21453, 8.04643e-07, 0.0109742, 9.34803e-06
22950, 4.58801, 4.41325, 0.271594, 0.19, -3.13458, 8.41147, 8.41498, 0.226317, -0.213164, 8.04643e-07, 0.0145358, 9.34803e-06
22961, 4.70707, 4.53011, 0.26626, 0.2, -3.05394, 8.07137, 8.07137, 0.215637, -0.210942, 8.04643e-07, 0.0051887, 9.34803e-06
22971, 4.05496, 4.44727, 0.261939, 0.21, -2.97329, 8.75509, 8.04683, 0.217343, -0.209141, 8.04643e-07, 0.00906362, 9.34803e-06
22981, 3.24925, 3.74517, 0.256603, 0.22, -2.88564, 9.46685, 8.77262, 0.210684, -0.206918, 8.04643e-07, 0.00416239, 9.34803e-06
22991, 3.43466, 3.46793, 0.250465, 0.23, -2.79798, 8.77262, 8.77612, 0.204442, -0.20436, 8.04643e-07, 9.01669e-05, 9.34803e-06
23001, 3.72078, 3.47352, 0.245392, 0.24, -2.71383, 8.06786, 8.41498, 0.205966, -0.202247, 8.04643e-07, 0.00410993, 9.34803e-06
23011, 3.78598, 3.48598, 0.239225, 0.25, -2.63669, 7.6962, 8.04683, 0.198578, -0.199677, 8.04643e-07, -0.00121477, 9.34803e-06
23021, 3.57647, 3.77607, 0.233457, 0.26, -2.55956, 7.71023, 7.36311, 0.197167, -0.197274, 8.04643e-07, -0.000117838, 9.34803e-06
23031, 3.08309, 3.61809, 0.228685, 0.27, -2.48593, 8.07838, 7.37363, 0.198578, -0.195285, 8.04643e-07, 0.00363882, 9.34803e-06
23041, 3.09467, 3.16789, 0.22321, 0.28, -2.40879, 7.71023, 7.71373, 0.193059, -0.193004, 8.04643e-07, 6.04987e-05, 9.34803e-06
