QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:10:02, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
39211, 0, 0, 0, 0, -3.02238, 0, 0, 0.249098, -0.249981, 5.22783e-06, -0.00230952, 2.21454e-05
39221, 9.03699, 8.75458, 0.372776, 0.01, -3.02238, 0, 0, 0.258625, -0.255323, 5.22783e-06, 0.00864452, 2.21454e-05
39231, 10.1263, 9.85602, 0.356761, 0.02, -3.02238, 0, 0, 0.24683, -0.24865, 5.22783e-06, -0.00476526, 2.21454e-05
39241, 7.27531, 6.88289, 0.354155, 0.03, -2.96628, 5.25235, 5.58194, 0.249098, -0.247565, 5.22783e-06, 0.0040157, 2.21454e-05
39250, 2.60231, 2.87325, 0.340099, 0.04, -2.85408, 11.5636, 11.1989, 0.240277, -0.241708, 5.22783e-06, -0.0037456, 2.21454e-05
39261, 1.23952, 1.02767, 0.347944, 0.05, -2.72084, 13.2992, 13.6673, 0.249098, -0.244976, 5.22783e-06, 0.0107913, 2.21454e-05
39271, 4.07937, 3.19219, 0.354298, 0.06, -2.61215, 9.4914, 10.5398, 0.251411, -0.247624, 5.22783e-06, 0.00991364, 2.21454e-05
39281, 7.57103, 5.8938, 0.340153, 0.07, -2.54553, 4.90173, 6.65835, 0.240277, -0.24173, 5.22783e-06, -0.00380366, 2.21454e-05
39290, 8.70848, 7.60595, 0.334879, 0.08, -2.49644, 4.20398, 4.90523, 0.240277, -0.239533, 5.22783e-06, 0.00194867, 2.21454e-05
39301, 6.91098, 7.4276, 0.332914, 0.09, -2.43684, 7.36311, 5.96061, 0.240277, -0.238714, 5.22783e-06, 0.00409313, 2.21454e-05
39311, 4.46431, 5.52643, 0.332181, 0.1, -2.34918, 10.8448, 9.08818, 0.240277, -0.238409, 5.22783e-06, 0.00489256, 2.21454e-05
39321, 3.00516, 4.05414, 0.335087, 0.11, -2.23348, 12.6295, 11.241, 0.242421, -0.239619, 5.22783e-06, 0.00733402, 2.21454e-05
39331, 4.37943, 3.39667, 0.33617, 0.12, -2.11777, 10.5398, 11.9388, 0.242421, -0.240071, 5.22783e-06, 0.00615221, 2.21454e-05
39341, 6.58724, 4.53042, 0.324201, 0.13, -2.01609, 7.3596, 9.81748, 0.234079, -0.235084, 5.22783e-06, -0.00263032, 2.21454e-05
39351, 7.37086, 6.34224, 0.319738, 0.14, -1.94246, 6.64783, 7.34558, 0.234079, -0.233224, 5.22783e-06, 0.00223731, 2.21454e-05
39361, 6.23735, 6.79844, 0.315119, 0.15, -1.87233, 8.42199, 7.01248, 0.232086, -0.2313, 5.22783e-06, 0.00205958, 2.21454e-05
39371, 4.40264, 5.46547, 0.302086, 0.16, -1.78468, 10.5047, 8.7656, 0.22446, -0.225869, 5.22783e-06, -0.00368817, 2.21454e-05
39380, 3.80806, 4.32067, 0.297227, 0.17, -1.683, 10.8799, 10.1611, 0.22446, -0.223845, 5.22783e-06, 0.0016121, 2.21454e-05
39391, 4.3803, 3.84728, 0.295416, 0.18, -1.57781, 9.80345, 10.5222, 0.22446, -0.22309, 5.22783e-06, 0.00358804, 2.21454e-05
39401, 5.70499, 4.50591, 0.297495, 0.19, -1.48665, 8.07137, 9.47036, 0.226317, -0.223956, 5.22783e-06, 0.00618143, 2.21454e-05
39411, 5.25802, 5.24702, 0.284958, 0.2, -1.4025, 8.40446, 8.05734, 0.217343, -0.218732, 5.22783e-06, -0.00363837, 2.21454e-05
39420, 4.01967, 4.64261, 0.268038, 0.21, -1.31835, 9.47737, 8.42199, 0.209086, -0.211682, 5.22783e-06, -0.00679661, 2.21454e-05
39431, 3.74978, 3.96476, 0.2641, 0.22, -1.22718, 9.47387, 9.12675, 0.210684, -0.210042, 5.22783e-06, 0.00168233, 2.21454e-05
39441, 3.60029, 3.3213, 0.253373, 0.23, -1.13252, 9.09519, 9.44231, 0.204442, -0.205572, 5.22783e-06, -0.00295869, 2.21454e-05
39451, 3.8082, 3.47424, 0.247149, 0.24, -1.04486, 8.41498, 8.75859, 0.202942, -0.202979, 5.22783e-06, -9.64701e-05, 2.21454e-05
