QGPIORecord, QRC v6.1.0, 20-12-2021 @ 23:31:22, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, y, x, P, nu, S
836711, 0, 0, 0, 0, 0.648655, 0, 0, 0.242421, -0.242333, 7.74894e-06, 0.00104766, 0.000100796
836721, 8.76503, 8.49112, 0.361557, 0.01, 0.648655, 0, 0, 0.251411, -0.250649, 7.74893e-06, 0.00907779, 0.000100796
836730, 9.97692, 9.70992, 0.352433, 0.02, 0.648655, 0, 0, 0.24683, -0.246847, 7.74894e-06, -0.000203162, 0.000100796
836741, 7.54963, 7.14942, 0.356673, 0.03, 0.701248, 4.90874, 5.23482, 0.249098, -0.248614, 7.74893e-06, 0.00577554, 0.000100796
836751, 3.58085, 3.26983, 0.35702, 0.04, 0.813448, 10.8448, 11.1919, 0.249098, -0.248758, 7.74894e-06, 0.00405142, 0.000100796
836761, 1.68585, 1.12496, 0.337655, 0.05, 0.943179, 12.6225, 13.3097, 0.240277, -0.24069, 7.74893e-06, -0.00491081, 0.000100796
836771, 3.42368, 2.68708, 0.340781, 0.06, 1.05538, 10.1541, 10.8693, 0.242421, -0.241992, 7.74894e-06, 0.00510785, 0.000100796
836781, 6.97069, 5.50323, 0.336325, 0.07, 1.122, 5.61349, 7.00898, 0.240277, -0.240135, 7.74893e-06, 0.00169303, 0.000100796
836791, 9.08021, 8.19278, 0.340672, 0.08, 1.16758, 3.85687, 4.20749, 0.242421, -0.241947, 7.74894e-06, 0.00564876, 0.000100796
836801, 8.14584, 7.80893, 0.336316, 0.09, 1.22368, 5.95009, 5.60297, 0.240277, -0.240132, 7.74893e-06, 0.00173734, 0.000100796
836811, 5.33157, 5.96326, 0.335959, 0.1, 1.30783, 10.1506, 8.74807, 0.240277, -0.239983, 7.74894e-06, 0.00350896, 0.000100796
836820, 3.73798, 4.04871, 0.340642, 0.11, 1.42704, 12.2894, 11.6022, 0.242421, -0.241934, 7.74893e-06, 0.00579749, 0.000100796
836831, 3.94799, 3.53239, 0.336313, 0.12, 1.54625, 11.5741, 11.9212, 0.240277, -0.240131, 7.74894e-06, 0.00174952, 0.000100796
836841, 5.95264, 4.07283, 0.322331, 0.13, 1.64793, 8.41849, 10.5082, 0.234079, -0.234304, 7.74893e-06, -0.00268859, 0.000100796
836851, 7.50665, 6.10391, 0.321186, 0.14, 1.72858, 6.66186, 7.72776, 0.234079, -0.233827, 7.74894e-06, 0.00299768, 0.000100796
836860, 6.67787, 6.5437, 0.316711, 0.15, 1.80221, 8.06436, 7.36311, 0.232086, -0.231963, 7.74893e-06, 0.00147103, 0.000100796
836871, 5.30672, 5.85414, 0.320725, 0.16, 1.88636, 10.1506, 8.75158, 0.234079, -0.233636, 7.74894e-06, 0.00528295, 0.000100796
836881, 3.99744, 4.49798, 0.303989, 0.17, 1.98804, 11.2095, 10.1576, 0.226317, -0.226662, 7.74893e-06, -0.00411108, 0.000100796
