QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:30:43, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
24192, 0, 0, 0, 0, -4.3828, 0, 0, 0.251411, -0.250269, 8.04643e-07, 0.00126117, 9.34803e-06
24201, 8.74927, 8.47585, 0.360907, 0.01, -4.3828, 0, 0, 0.251411, -0.250378, 8.04643e-07, 0.00114122, 9.34803e-06
24211, 9.97013, 9.70327, 0.35226, 0.02, -4.3828, 0, 0, 0.24683, -0.246775, 8.04643e-07, 6.11842e-05, 9.34803e-06
24221, 6.99189, 6.87803, 0.34514, 0.03, -4.33021, 5.25235, 5.23131, 0.249098, -0.243808, 8.04643e-07, 0.0058462, 9.34803e-06
24230, 3.02125, 2.51204, 0.338852, 0.04, -4.21801, 10.8764, 11.5566, 0.249098, -0.241188, 8.04643e-07, 0.00874148, 9.34803e-06
24241, 1.22133, 0.913318, 0.325277, 0.05, -4.08477, 12.6155, 12.9906, 0.213959, -0.235532, 8.04643e-07, -0.023841, 9.34803e-06
24251, 3.58775, 2.62099, 0.321838, 0.06, -3.98309, 9.1022, 10.1541, 0.251411, -0.234099, 8.04643e-07, 0.0191314, 9.34803e-06
24261, 7.49937, 5.74013, 0.318273, 0.07, -3.92348, 4.211, 5.9536, 0.249098, -0.232614, 8.04643e-07, 0.0182176, 9.34803e-06
24271, 8.6606, 7.46097, 0.3136, 0.08, -3.88141, 3.50624, 4.2145, 0.242421, -0.230667, 8.04643e-07, 0.0129898, 9.34803e-06
24281, 6.82605, 6.97972, 0.309473, 0.09, -3.82882, 6.65485, 5.60297, 0.242421, -0.228947, 8.04643e-07, 0.0148902, 9.34803e-06
24291, 4.00213, 5.20253, 0.305339, 0.1, -3.74116, 10.5047, 8.40797, 0.240277, -0.227225, 8.04643e-07, 0.014425, 9.34803e-06
24301, 2.3424, 3.60022, 0.302177, 0.11, -3.63597, 12.2789, 10.5222, 0.242421, -0.225907, 8.04643e-07, 0.0182497, 9.34803e-06
24311, 3.48654, 3.29249, 0.297026, 0.12, -3.53079, 10.1821, 10.5328, 0.232086, -0.223761, 8.04643e-07, 0.00920108, 9.34803e-06
24321, 5.75744, 4.36023, 0.292476, 0.13, -3.44664, 7.01248, 8.75859, 0.232086, -0.221865, 8.04643e-07, 0.0112961, 9.34803e-06
24331, 6.74917, 5.90448, 0.288458, 0.14, -3.38002, 5.9536, 6.66186, 0.232086, -0.220191, 8.04643e-07, 0.0131463, 9.34803e-06
24341, 5.62526, 6.1067, 0.284909, 0.15, -3.30989, 7.70672, 6.64433, 0.232086, -0.218712, 8.04643e-07, 0.0147803, 9.34803e-06
