QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:27:49, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
26671, 0, 0, 0, 0, -4.48098, 0, 0, 0.242421, -0.243694, 5.22783e-06, -0.00333285, 2.21454e-05
26681, 8.55471, 8.28737, 0.352882, 0.01, -4.48098, 0, 0, 0.249098, -0.247034, 5.22783e-06, 0.00540455, 2.21454e-05
26691, 9.86765, 9.60299, 0.349344, 0.02, -4.48098, 0, 0, 0.24683, -0.24556, 5.22783e-06, 0.00332491, 2.21454e-05
26701, 7.37773, 6.98144, 0.35139, 0.03, -4.42838, 4.90523, 5.23131, 0.249098, -0.246413, 5.22783e-06, 0.00703169, 2.21454e-05
26711, 3.36466, 2.55016, 0.339069, 0.04, -4.31618, 10.4872, 11.49, 0.240277, -0.241279, 5.22783e-06, -0.00262123, 2.21454e-05
26721, 1.66167, 1.2303, 0.340894, 0.05, -4.18645, 12.6365, 13.0432, 0.244605, -0.242039, 5.22783e-06, 0.00671676, 2.21454e-05
26731, 3.7538, 2.97432, 0.335156, 0.06, -4.08127, 9.47036, 10.1611, 0.240277, -0.239648, 5.22783e-06, 0.00164722, 2.21454e-05
26741, 6.87995, 5.90708, 0.333017, 0.07, -4.01815, 5.60999, 6.31124, 0.240277, -0.238757, 5.22783e-06, 0.00398074, 2.21454e-05
26750, 8.84928, 8.0132, 0.332219, 0.08, -3.97608, 3.85687, 4.20749, 0.240277, -0.238425, 5.22783e-06, 0.00485069, 2.21454e-05
26761, 7.69651, 7.68846, 0.331922, 0.09, -3.91998, 6.30422, 5.60648, 0.240277, -0.238301, 5.22783e-06, 0.00517498, 2.21454e-05
26771, 5.08533, 5.55352, 0.331811, 0.1, -3.83232, 10.1786, 9.10922, 0.240277, -0.238255, 5.22783e-06, 0.00529589, 2.21454e-05
26781, 2.92646, 4.11236, 0.334949, 0.11, -3.71662, 12.9521, 11.2235, 0.242421, -0.239562, 5.22783e-06, 0.00748439, 2.21454e-05
26790, 3.59957, 3.38127, 0.32079, 0.12, -3.60442, 11.2235, 11.5566, 0.232086, -0.233662, 5.22783e-06, -0.00412609, 2.21454e-05
26801, 5.87682, 4.70614, 0.318467, 0.13, -3.50975, 8.06085, 9.46685, 0.234079, -0.232695, 5.22783e-06, 0.00362428, 2.21454e-05
26811, 7.40021, 6.27626, 0.314646, 0.14, -3.43612, 6.30072, 7.3561, 0.232086, -0.231102, 5.22783e-06, 0.00257662, 2.21454e-05
26821, 6.08672, 6.51483, 0.301909, 0.15, -3.36249, 8.08539, 7.03001, 0.22446, -0.225796, 5.22783e-06, -0.00349542, 2.21454e-05
26831, 5.13744, 5.19142, 0.302718, 0.16, -3.27483, 9.47036, 9.11973, 0.228207, -0.226132, 5.22783e-06, 0.0054301, 2.21454e-05
26841, 4.1381, 4.53969, 0.297463, 0.17, -3.17315, 10.5117, 9.81046, 0.22446, -0.223943, 5.22783e-06, 0.00135516, 2.21454e-05
26851, 4.24758, 4.18788, 0.298258, 0.18, -3.07147, 10.1541, 10.1541, 0.226317, -0.224274, 5.22783e-06, 0.00534903, 2.21454e-05
26861, 4.82992, 4.47573, 0.282712, 0.19, -2.98031, 8.77262, 9.12324, 0.215637, -0.217797, 5.22783e-06, -0.00565459, 2.21454e-05
26871, 4.42979, 4.31314, 0.2672, 0.2, -2.89616, 8.76911, 8.76911, 0.209086, -0.211334, 5.22783e-06, -0.00588332, 2.21454e-05
26881, 3.98987, 4.16139, 0.263788, 0.21, -2.8085, 9.10571, 8.74807, 0.210684, -0.209912, 5.22783e-06, 0.0020228, 2.21454e-05
26891, 3.80515, 4.00837, 0.262516, 0.22, -2.71734, 9.11623, 8.77963, 0.210684, -0.209382, 5.22783e-06, 0.00341052, 2.21454e-05
26901, 3.64106, 3.63326, 0.250558, 0.23, -2.62968, 8.76911, 8.7621, 0.202942, -0.204399, 5.22783e-06, -0.00381452, 2.21454e-05
26911, 3.71355, 3.69143, 0.248325, 0.24, -2.54553, 8.41849, 8.42199, 0.204442, -0.203469, 5.22783e-06, 0.00254864, 2.21454e-05
26920, 3.32893, 3.31472, 0.236701, 0.25, -2.46489, 8.40096, 8.40446, 0.197167, -0.198626, 5.22783e-06, -0.00381811, 2.21454e-05
26931, 3.43476, 3.41992, 0.236586, 0.26, -2.38424, 8.06436, 8.05734, 0.20001, -0.198577, 5.22783e-06, 0.00375193, 2.21454e-05
26941, 3.34998, 3.59863, 0.226232, 0.27, -2.30711, 7.71023, 7.36311, 0.193059, -0.194263, 5.22783e-06, -0.00315249, 2.21454e-05
26951, 2.67418, 2.9913, 0.214653, 0.28, -2.23348, 8.06436, 7.71023, 0.187855, -0.189439, 5.22783e-06, -0.00414547, 2.21454e-05
26960, 2.7442, 2.81918, 0.203047, 0.29, -2.15634, 7.37012, 7.37713, 0.182941, -0.184603, 5.22783e-06, -0.00435147, 2.21454e-05
26971, 2.76621, 2.84005, 0.19872, 0.3, -2.08621, 7.01248, 7.01248, 0.182941, -0.1828, 5.22783e-06, 0.000368372, 2.21454e-05
26981, 2.88925, 2.95519, 0.197107, 0.31, -2.0196, 6.64783, 6.64783, 0.182941, -0.182128, 5.22783e-06, 0.00212792, 2.21454e-05
26991, 2.8829, 2.94628, 0.18961, 0.32, -1.95648, 6.31825, 6.31825, 0.178292, -0.179004, 5.22783e-06, -0.00186504, 2.21454e-05
27001, 2.60434, 2.67408, 0.180283, 0.33, -1.89337, 6.2902, 6.2902, 0.173888, -0.175118, 5.22783e-06, -0.00322051, 2.21454e-05
27011, 2.38942, 2.73423, 0.176805, 0.34, -1.83376, 6.31825, 5.96762, 0.173888, -0.173669, 5.22783e-06, 0.000572711, 2.21454e-05
27021, 2.52408, 2.6376, 0.175509, 0.35, -1.77766, 5.9536, 5.95009, 0.173888, -0.173129, 5.22783e-06, 0.0019868, 2.21454e-05
27031, 2.83442, 2.66167, 0.168828, 0.36, -1.72156, 5.25936, 5.60999, 0.169709, -0.170345, 5.22783e-06, -0.0016644, 2.21454e-05
27041, 2.78932, 2.84326, 0.167857, 0.37, -1.66546, 5.26287, 5.26287, 0.170734, -0.16994, 5.22783e-06, 0.00207691, 2.21454e-05
27051, 2.30022, 2.366, 0.160088, 0.38, -1.61287, 5.60999, 5.61349, 0.16574, -0.166703, 5.22783e-06, -0.00252195, 2.21454e-05
27061, 2.14197, 2.48087, 0.157191, 0.39, -1.56028, 5.59596, 5.24884, 0.16574, -0.165496, 5.22783e-06, 0.000637576, 2.21454e-05
27071, 2.01109, 2.12978, 0.145177, 0.4, -1.50768, 5.25936, 5.25586, 0.158368, -0.16049, 5.22783e-06, -0.0055564, 2.21454e-05
27081, 2.47751, 2.57314, 0.146032, 0.41, -1.4586, 4.56162, 4.56513, 0.161964, -0.160847, 5.22783e-06, 0.00292544, 2.21454e-05
