QGPIORecord, QRC v6.1.0, x86_64, Windows 10 Version 2009,, 22-12-2021 @ 11:14:12, 10.0.19042,,,,,,
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
128904,0,1.01E-05,0,4.33E-05,1.76E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
128914,0,1.01E-05,0,4.33E-05,1.76E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
128925,0,1.01E-05,0,4.33E-05,1.77E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
128933,0,1.01E-05,0,4.33E-05,1.77E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
128944,0,1.01E-05,0,4.33E-05,1.77E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
128954,0,1.01E-05,0,4.33E-05,1.77E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
128964,0,1.01E-05,0,4.33E-05,1.78E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
128973,0,1.01E-05,0,4.33E-05,1.78E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
128984,0,1.01E-05,0,4.33E-05,1.78E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
128994,0,1.01E-05,0,4.33E-05,1.79E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129004,0,1.01E-05,0,4.33E-05,1.79E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129013,0,1.01E-05,0,4.33E-05,1.79E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129024,0,1.01E-05,0,4.33E-05,1.79E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129034,0,1.01E-05,0,4.33E-05,1.80E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129044,0,1.01E-05,0,4.33E-05,1.80E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129053,0,1.01E-05,0,4.33E-05,1.80E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129063,0,1.01E-05,0,4.33E-05,1.80E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129074,0,1.01E-05,0,4.33E-05,1.81E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129084,0,1.01E-05,0,4.33E-05,1.81E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129093,0,1.01E-05,0,4.33E-05,1.81E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129103,0,1.01E-05,0,4.33E-05,1.82E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129114,0,1.01E-05,0,4.33E-05,1.82E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129124,0,1.01E-05,0,4.33E-05,1.82E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129134,0,1.01E-05,0,4.33E-05,1.82E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129143,0,1.01E-05,0,4.33E-05,1.83E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129154,0,1.01E-05,0,4.33E-05,1.83E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129164,0,1.01E-05,0,4.33E-05,1.83E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129174,0,1.01E-05,0,4.33E-05,1.84E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129183,0,1.01E-05,0,4.33E-05,1.84E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129193,0,1.01E-05,0,4.33E-05,1.84E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129204,0,1.01E-05,0,4.33E-05,1.84E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129214,0,1.01E-05,0,4.33E-05,1.85E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129223,0,1.01E-05,0,4.33E-05,1.85E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129233,0,1.01E-05,0,4.33E-05,1.85E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129244,0,1.01E-05,0,4.33E-05,1.85E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129254,0,1.01E-05,0,4.33E-05,1.86E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129263,0,1.01E-05,0,4.33E-05,1.86E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129273,0,1.01E-05,0,4.33E-05,1.86E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129284,0,1.01E-05,0,4.33E-05,1.87E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129294,0,1.01E-05,0,4.33E-05,1.87E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129304,0,1.01E-05,0,4.33E-05,1.87E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129313,0,1.01E-05,0,4.33E-05,1.87E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129324,0,1.01E-05,0,4.33E-05,1.88E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129334,0,1.01E-05,0,4.33E-05,1.88E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129344,0,1.01E-05,0,4.33E-05,1.88E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129353,0,1.01E-05,0,4.33E-05,1.89E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129363,0,1.01E-05,0,4.33E-05,1.89E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129374,0,1.01E-05,0,4.33E-05,1.89E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129384,0,1.01E-05,0,4.33E-05,1.89E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129393,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129403,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129414,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129424,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129434,0,1.01E-05,0,4.33E-05,1.91E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129443,0,1.01E-05,0,4.33E-05,1.91E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129454,0,1.01E-05,0,4.33E-05,1.91E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129464,0,1.01E-05,0,4.33E-05,1.92E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129474,0,1.01E-05,0,4.33E-05,1.92E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129483,0,1.01E-05,0,4.33E-05,1.92E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
