QGPIORecord, QRC v6.1.0, 21-12-2021 @ 20:11:48, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
15464, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15473, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15483, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15494, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15505, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15514, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15523, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15534, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15544, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15554, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15563, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15574, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15584, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15594, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15603, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15613, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15624, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15634, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15643, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15653, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15664, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15674, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15684, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15693, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15704, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15714, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15724, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15733, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15744, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15754, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15764, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15773, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15783, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15794, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15804, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15813, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15823, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15834, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15844, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15854, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15863, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15874, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15884, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15894, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15903, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15913, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15924, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15934, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15943, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15953, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15964, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15974, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15983, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
15993, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16004, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16014, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16024, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16033, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16044, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16054, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16064, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16073, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16083, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16094, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16104, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16113, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16123, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16134, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16144, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
