QGPIORecord, QRC v6.1.0, 21-12-2021 @ 20:27:20, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
29553, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29564, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29574, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29584, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29593, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29603, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29614, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29624, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29634, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29643, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29654, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29664, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29674, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29683, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29693, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29704, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29714, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29723, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29733, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29744, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29754, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29764, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29773, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29784, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29794, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29804, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29813, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29824, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29834, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29844, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29853, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29863, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29874, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29884, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29893, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29903, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29914, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29924, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29934, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29943, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29954, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29964, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
29974, 0, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, -0.000115706, 0, 0, -0.000115706, 0
