QGPIORecord, QRC v6.1.0, 18-12-2021 @ 12:26:53, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
314870, 0.0604699, 0, 0, 3.64, 0, 0, 0, -1.17618, 0, 0, 0, 0
314881, 0.0605692, 0, 0, 3.65, 0, 0, 0, -1.17464, 0, 0, 0, 0
314890, 0.0600767, 0, 0, 3.66, 0, 0, 0, -1.17464, 0, 0, 0, 0
314900, 0.0600767, 0, 0, 3.67, 0, 0, 0, -1.17464, 0, 0, 0, 0
314910, 0.0594986, 0, 0, 3.68, 0, 0, 0, -1.17464, 0, 0, 0, 0
314920, 0.0587485, 0, 0, 3.69, 0, 0, 0, -1.17464, 0, 0, 0, 0
314930, 0.0589338, 0, 0, 3.7, 0, 0, 0, -1.17311, 0, 0, 0, 0
314940, 0.0579319, 0, 0, 3.71, 0, 0, 0, -1.17311, 0, 0, 0, 0
314950, 0.0568004, 0, 0, 3.72, 0, 0, 0, -1.17311, 0, 0, 0, 0
314960, 0.0568855, 0, 0, 3.73, 0, 0, 0, -1.17157, 0, 0, 0, 0
314970, 0.0559664, 0, 0, 3.74, 0, 0, 0, -1.17157, 0, 0, 0, 0
314980, 0.0559664, 0, 0, 3.75, 0, 0, 0, -1.17157, 0, 0, 0, 0
314990, 0.0554804, 0, 0, 3.76, 0, 0, 0, -1.17004, 0, 0, 0, 0
315000, 0.0546161, 0, 0, 3.77, 0, 0, 0, -1.17004, 0, 0, 0, 0
315011, 0.0546933, 0, 0, 3.78, 0, 0, 0, -1.1685, 0, 0, 0, 0
315020, 0.053859, 0, 0, 3.79, 0, 0, 0, -1.16697, 0, 0, 0, 0
315030, 0.053859, 0, 0, 3.8, 0, 0, 0, -1.16543, 0, 0, 0, 0
315040, 0.0531277, 0, 0, 3.81, -0.350624, -0.350624, 0, -1.16389, 0, 0, 0, 0
315051, 0.0528421, 0, 0, 3.82, 0, 0, 0, -1.16082, 0, 0, 0, 0
315060, 0.0529131, 0, 0, 3.83, 0, 0, 0, -1.15775, 0, 0, 0, 0
